probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.18911978386653006,0.7960006748334308,-27.866151543909837,9.348066621608942e-71,3.873324664330557e-65,150.79184893272364,RFTN1
cg24016844,0.03568331175356867,0.06297570399234352,20.725716098769166,1.1313974948552571e-51,2.3439444750290074e-46,106.8368658058821,C1orf103;C1orf103
cg02325951,0.1256503722968264,0.6726825732982993,15.458144281797363,5.6657941754937327e-36,7.825311625483169e-31,70.6887462841575,FOXN3;FOXN3
cg03608000,-0.020398348880081216,0.02966207660488977,-14.443439167678221,7.515136803254216e-33,7.78464839686092e-28,63.505467037030044,ZNF69
cg12611723,-0.02644474748388133,0.045753617587443514,-13.912931597585882,3.2514998514565002e-31,2.694485411903487e-26,59.74323650816626,NPDC1
cg16383222,-0.030132454696534694,0.09631302947919251,-13.314081974824234,2.282531104164243e-29,1.576258917258222e-24,55.499177632317924,CYHR1
cg25294185,0.10707675357902598,0.1252792487664668,12.602038436238974,3.5325661151445776e-27,2.0910015813994e-22,50.46829852921605,RNASEH2C
cg04946709,0.07799484888527297,0.8223090397005157,12.541794100147886,5.4059792977756986e-27,2.79992561517109e-22,50.04388265019674,LOC644649
cg07852945,-0.058971714298081866,0.0742657590141605,-12.007864285420709,2.322181181202291e-25,1.0690935128058481e-20,46.29414837501304,TLE1
cg25568337,-0.05670406226994194,0.12358127256585881,-11.318155032079975,2.87684095568937e-23,1.0836406052591926e-18,41.49120948896066,ARID1B;ARID1B;ARID1B
cg17238319,-0.12831812820264155,0.7810786493300285,-11.238501399367884,5.001798273435238e-23,1.7270584213387698e-18,40.940236395839555,RFTN1
cg25304146,0.07666185070734788,0.6290247672017844,10.574526149684727,4.8558807283597846e-21,1.4371499288515965e-16,36.38456238623865,WBP11P1
cg01225095,-0.023876361757637903,0.06315771388540792,-10.563242925815695,5.2453651227976414e-21,1.4489272078703925e-16,36.307780690768645,YARS2
cg06759085,0.16340019841489273,0.7746782650778984,10.271082179575131,3.8367613524686364e-20,9.935893016178856e-16,34.32799594045443,"NAB1"
cg16169375,-0.014323267569832612,0.03484409430639319,-10.01808532338316,2.1211944892119596e-19,5.170037239014879e-15,32.627498197676026,C6orf108;C6orf108
cg25908635,-0.010239583746152622,0.039777659691012913,-9.883530271071663,5.2383036485973575e-19,1.2058138473767068e-14,31.7287806113345,TMEM51;TMEM51;TMEM51;TMEM51;C1orf126
cg22345911,-0.014951257416792423,0.024401024208814855,-9.835014635624077,7.249896609093151e-19,1.5810307423656325e-14,31.405751897294714,CSNK1D;CSNK1D;CSNK1D;CSNK1D
cg08034535,-0.016685463112811848,0.039058789934431085,-9.801580593625975,9.06703168847231e-19,1.8784396224800298e-14,31.18346094501397,RAB33B
cg22266749,0.08871589341992614,0.08152287720787954,9.644879906932598,2.577717098957005e-18,5.0860199588920965e-14,30.14519461547296,COL25A1;COL25A1
cg25918716,-0.015619350160556156,0.07447006187582549,-9.567903630847553,4.297557610980424e-18,8.0939614014622e-14,29.63738927091041,ZSWIM5
cg26213873,-0.013594423246467369,0.04624995388142118,-9.539124303610976,5.200635504071731e-18,9.368944860585224e-14,29.447921362201292,CTTNBP2NL
cg02758552,-0.08732513599406591,0.24031280323467155,-9.49066004302502,7.167204017920844e-18,1.2373729786689216e-13,29.129341398550537,GPX1;GPX1;GPX1;GPX1
cg07816873,-0.039394573022498575,0.08728870659638831,-9.477321151299504,7.82786349859973e-18,1.2762198999668173e-13,29.041765541150895,ERC1;ERC1;ERC1;ERC1;ERC1;ERC1;ERC1
cg12052203,0.09041224229016888,0.070310923323594815,9.460646231320105,8.739501033116783e-18,1.341173539098805e-13,28.932352865248532,B3GNT1;B3GNT1
cg03687700,-0.12797326128631492,0.11841217698157952,-9.338786657372644,1.9507078254922246e-17,2.7871242550123305e-13,28.13502084377746,FKBP1B;FKBP1B
cg03613132,-0.01100814940919781,0.04953116668814778,-8.45760344487455,5.724593174678645e-15,7.187747148370373e-11,22.499691859093517,EIF4EBP1
cg01906879,-0.018350601821362895,0.048757982368682964,-8.430900818606377,6.774702714195697e-15,8.256071165039459e-11,22.33285238211952,GBE1
cg15364537,-0.008672770023880831,0.03693627281679889,-8.103695482298408,5.230366751816987e-14,6.191932319376027e-10,20.30933325089594,MFSD4
cg12900929,-0.033710793108508746,0.05913130900610768,-8.038303206156488,7.833211194132615e-14,9.015699700646884e-10,19.909723949046793,PRDM4;PRDM4
cg17743279,-0.00501877447970462,0.015244662608707887,-8.03279909017656,8.103503322056878e-14,9.07471914588556e-10,19.87616378287641,CDK6;CDK6
cg17612569,0.015082875727107748,0.03866952898062738,7.918463287064531,1.6353294955849886e-13,1.7831331574951636e-9,19.181707332753184,GABPA;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J
cg06752594,-0.015188788726712393,0.04813092747431145,-7.700890100173821,6.135483489770226e-13,6.355517266422111e-9,17.874720278782462,PSRC1;PSRC1;PSRC1;PSRC1
cg10047026,-0.049529579632289045,0.09987503473265961,-7.526717935047728,1.744321877090474e-12,1.7208358289596488e-8,16.84271186718835,ARRB2;ARRB2;ARRB2;ARRB2
cg16398944,-0.005602575812313847,0.02853173472500962,-7.506093838132111,1.9724229655581815e-12,1.9006130085214062e-8,16.721376001319634,PRIM2
cg01293379,-0.024709889656877308,0.06875682588628257,-7.39529492673779,3.8054494373450036e-12,3.5039309935927006e-8,16.07273545799329,RAB12
cg22921760,-0.06047117165081538,0.13896472295969642,-7.34474420778564,5.126994339639533e-12,4.6181401514303093e-8,15.778624388015059,SALL2
cg01884321,-0.006268837631123146,0.03301779269785065,-7.301933657883636,6.5935847984745956e-12,5.812806156008417e-8,15.530453693953914,LOC285550;LOC285550
cg13192180,0.10629088801128628,0.716500830736274,7.2613764149536335,8.361965439169086e-12,7.218205353942738e-8,15.296120039276742,NOL11
cg00243574,0.04182378825846776,0.0803581101669519,7.169183095115262,1.4311715271110173e-11,1.2102015640832948e-7,14.766280584110381,HOXC4;HOXC5;HOXC4;HOXC6;HOXC6
cg07457944,-0.012773953121114234,0.0476226240946826,-7.122189279217564,1.8793915551289465e-11,1.5574329878198067e-7,14.497741974333794,SOCS6
cg13916990,-0.03385069130591595,0.19630331403199733,-7.05175905486453,2.821862510012811e-11,2.2485088879062658e-07,14.097252057632774,UBAP2
cg06329022,-0.009389099624364891,0.03765687018181059,-6.917488518324264,6.085449503524078e-11,4.7575010840333663e-7,13.340414823644112,SPAG5
cg24474701,-0.00390492761497779,0.012764672766714124,-6.787575628076269,1.2696594779890954e-10,9.742167711247996e-7,12.616661738545504,"NARS;NARS"
cg15373239,-0.013529698130851475,0.062453769057062826,-6.735609628684956,1.7000213038204108e-10,1.2807187766026695e-6,12.329552883867008,EMX2OS;EMX2;EMX2
cg17223846,-0.10321093204840628,0.19653431620850106,-6.7008041669775755,2.0655603278248015e-10,1.5016989292488157e-6,12.138031939402333,C19orf77
cg12247968,-0.02858549808689978,0.21018539755374216,-6.70078037064168,2.0658349676521377e-10,1.5016989292488157e-6,12.137901211861694,DACH1;DACH1;DACH1
cg09388215,-0.05406511550149096,0.18728771321742116,-6.679970084176934,2.3202996992320307e-10,1.657594101514303e-6,12.023690427008967,CCDC46
cg03605372,-0.00653536104597429,0.04411132887964164,-6.60790629796829,3.463520320321781e-10,2.391820545206214e-6,11.629939442665728,PRKCSH;PRKCSH;PRKCSH;CCDC151;PRKCSH
cg11065518,-0.007784760391820526,0.029409842826295864,-6.595978791483548,3.700015853715258e-10,2.5132509326354895e-6,11.56503200005539,MDH1B;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2
cg03691818,-0.04707902620899561,0.04430172813010722,-6.589807536818615,3.828541151996481e-10,2.5363252327854314e-6,11.531478644808002,KRT77
cg23801021,-0.0025699286163424918,0.015149410874768142,-6.588496217188186,3.8564116778405e-10,2.5363252327854314e-6,11.524351547672941,PDE2A;PDE2A;PDE2A;PDE2A;PDE2A
cg09067967,-0.027200025207626568,0.030306942295389758,-6.562200983710537,4.4593379524193697e-10,2.869515331986576e-6,11.381628184081537,UGDH
cg03934782,-0.051522720267098754,0.24554651208224487,-6.560494284663218,4.501526423128732e-10,2.869515331986576e-6,11.372377399059614,VAT1L
cg17871437,-0.002268601012799269,0.012626529996755993,-6.526840507498435,5.418337001992781e-10,3.401607341046513e-6,11.190282334248893,BRD2;BRD2
cg04190002,-0.03697366951059533,0.297891252349494,-6.505835188006534,6.081173313005857e-10,3.760751875190167e-6,11.07693371527917,SHANK3
cg25438440,-0.0054264844201453825,0.027830088057203942,-6.490417142901464,6.617809248939142e-10,4.0324355488995426e-06,10.993886253950459,CLDND1;CLDND1;CLDND1;CLDND1;CLDND1;CLDND1
cg04337007,-0.0161426572965074,0.06757731240640842,-6.480822427609683,6.974976030151235e-10,4.188473106105817e-6,10.942270261429561,OTOP3
cg01065780,-0.010487808598405906,0.03210015975955171,-6.38192850051278,1.1957238390559469e-9,7.077745629909089e-6,10.413177322681749,MB
cg22149355,-0.07112611632759425,0.17935723680800067,-6.33953341471194,1.5041881380116567e-9,8.778208930203379e-6,10.188004609864906,MYO5A;MYO5A;MYO5A;MYO5A
cg06644124,-0.06622102083765039,0.27061602641586646,-6.332824177218941,1.5596885129020275e-9,8.975682456644314e-6,10.15246122338843,ZNF281;ZNF281
cg14514226,-0.006286348950413773,0.04162998163787656,-6.246650103398308,2.478698448188698e-9,1.3878869033983054e-5,9.698176320909662,TMCC2
cg17561891,-0.030816363295808002,0.07961994086131731,-6.194251809242025,3.278751457298613e-9,1.811379030099192e-5,9.423995647329393,C7orf23
cg24456365,-0.011936399876033399,0.09277094538851821,-6.1608863933905385,3.914972814927849e-9,2.1344071197385262e-5,9.250222505871138,MMP16;MMP16
cg01882150,-0.012753991302685327,0.08098354285045037,-6.1400632184789705,4.3718266219859565e-9,2.3525253268659364e-5,9.142095314110614,MACROD1
cg08108911,-0.014136926339552602,0.08041275281273003,-6.091083764942319,5.66244697228242e-9,3.007957167603025e-5,8.888749592765931,ARHGEF11;ARHGEF11
cg12177922,-0.046766253550533404,0.1811563936863985,-6.081973350304786,5.9406882347545865e-9,3.1158157805435307e-5,8.841779537952041,HAX1;HAX1
cg24158363,-0.028456711498859345,0.06560843206042268,-6.066573331596879,6.441785892326352e-9,3.3364022194449526e-5,8.762492463282788,GRB2;GRB2;GRB2;GRB2
cg16616022,-0.011605564680151392,0.08833505440932625,-6.029969476366987,7.804946038376535e-9,3.992518970705093e-5,8.57459376297358,RAB23;RAB23
cg01916115,-0.013238027802021123,0.06470310993811834,-5.978101304064766,1.0231517172551381e-8,5.107684316699761e-5,8.309688313488492,LAMA2;LAMA2;LAMA2;LAMA2
cg05100634,-0.003818958921322127,0.016991462307985823,-5.921096580586308,1.3752869098278222e-8,6.783848269673917e-5,8.020389932824157,SMAD2;SMAD2;SMAD2
cg02989351,-0.04787750962692143,0.10715619712008798,-5.798025267043822,2.588037147476852e-8,1.2325750021509153e-4,7.402466739674617,YWHAQ
cg22863798,0.010995394673414732,0.06144280414947112,5.763115663547543,3.091455341496699e-8,1.45560120849142e-4,7.228869108670716,LOC389791;PTGES2;PTGES2;PTGES2
cg06225979,-0.01237986879223129,0.03830623242980976,-5.756473101178168,3.197540976738335e-8,1.4886349618052196e-4,7.195921920030825,ZNF396
cg22794378,-0.004302794248367565,0.01883467197725085,-5.720436706483075,3.838087552068321e-8,1.766991540846387e-4,7.017655468423582,ZC3H14;ZC3H14;ZC3H14;ZC3H14;ZC3H14
cg03218192,-0.05522088815790832,0.21144491709794458,-5.7102152220562274,4.041542337251641e-8,1.8402119337676166e-4,6.967237676912664,AP2B1;AP2B1;AP2B1;AP2B1
cg09779044,0.019963588600517057,0.9247263538695786,5.704824005931462,4.1530582927511634e-8,1.8704336285978052e-4,6.940671454943587,CKAP5;CKAP5
cg00871698,-0.009201376472212874,0.028009197319779574,-5.574274940166615,7.985919151300993e-8,3.446797573693552e-4,6.302918580174593,FERMT2;FERMT2;FERMT2
cg03464232,-0.01550410779201511,0.117130388297748,-5.522752896573611,1.0307873658489328e-7,4.358179501047715e-4,6.054190225848156,C8orf33
cg19551420,-0.00875499337109506,0.04844119445305817,-5.478059457350324,1.2845640906800266e-7,5.376289981341572e-4,5.8398036986396455,LMO2;LMO2;LMO2
cg05159145,-0.026319470585877157,0.069507808026939,-5.3020611885357365,3.019801662686628e-7,0.0012512397199258907,5.008181478253158,KIF3C
cg23610841,-0.005646735380147927,0.04330038362781055,-5.262798049830611,3.644601980219969e-7,0.0014951708985091515,4.825438085614266,WRN;PURG;PURG;PURG;WRN
cg17439660,-0.009800499975274463,0.04726361879481003,-5.243437380550979,3.997303078547455e-7,0.0016237868079222993,4.735705365854042,ADCYAP1;ADCYAP1
cg06122000,-0.01005991456677497,0.057928302753368605,-5.2382695516546836,4.096923530519956e-7,0.0016322497887050877,4.711795909518996,UBE2CBP
cg03332597,-0.014939609318430191,0.07667501329537565,-5.164807097532841,5.802751951550721e-7,0.0022898488165383653,4.373855165045168,C1orf25;C1orf26;C1orf26
cg09966978,-0.008208588711161202,0.05340061233235287,-5.154544021454539,6.090248605360028e-7,0.0023806264701772646,4.32693308138332,DNAJA1
cg06583696,0.004807458483400567,0.03202265997926065,5.12903945254696,6.865895316999991e-7,0.0026587377524508048,4.210637446411942,ASXL2
cg16405575,-0.006551903671304357,0.041742675065294554,-5.082545110945932,8.533701536030257e-7,0.0032739782990244973,3.999773204770964,TSPAN9;TSPAN9
cg01226883,-0.004824209084452441,0.03367657535667676,-5.077712902677503,8.728064127967323e-7,0.0033178254413785513,3.97794267377893,CLCN6;CLCN6;MTHFR;CLCN6;CLCN6
cg12198769,0.027079202638828292,0.16696004793239927,5.071995127421188,8.963597037893886e-7,0.0033763832860601293,3.9521320937487783,COX5B
cg22227586,-0.004446486517176464,0.01961479992264392,-5.057483545514987,9.589393586573559e-7,0.0035795651221881275,3.886726242473218,FAM35A;GLUD1;GLUD1
cg04913934,-0.014773924743711288,0.05471495759638966,-5.053060805222764,9.788403771336744e-7,0.0036212287148522527,3.8668210875125375,TXNDC11
cg03614513,-0.014846099718558013,0.06610769229971618,-5.048257634560941,1.0009069037154355e-6,0.0036700953187608154,3.845219006375082,TSPAN2
cg16376036,-0.029483678585182832,0.10251216184383691,-5.039551873055518,1.0421383466962595e-6,0.0037877615198408914,3.8061056855245443,PAFAH1B2;PAFAH1B2
cg16547629,-0.016264962643662208,0.06468541137420294,-5.0117776206498315,1.184987660811646e-6,0.004196527455717961,3.6816710598660958,RNF220
cg06293108,-0.011056767578929837,0.05181599459494629,-4.970133170480336,1.4353300969754147e-6,0.005015612482821139,3.496096781342702,IRS2
cg14030268,-0.002255623589759753,0.016048932993888623,-4.96935180928878,1.4404853092367847e-6,0.005015612482821139,3.4926264390496993,PDZD8
cg02344201,-0.00540860006877765,0.04416374501188144,-4.916222534181829,1.8364163176229676e-6,0.006288511728309823,3.2576583573711595,ELL
cg12204423,0.0148251414718832,0.045202672258737725,4.912964049653629,1.8638583729446853e-6,0.006330167192932505,3.243311837711296,PHF17;PHF17
cg23612557,-0.007861312081310207,0.028119575772748637,-4.8982875714311405,1.992458335315633e-6,0.006711911780051674,3.1787864752462074,KREMEN2;KREMEN2;KREMEN2;KREMEN2
cg18702278,-0.13235183224080405,0.5006951314878942,-4.877719535537296,2.187222550121317e-6,0.007308586512338847,3.088614068671875,PDE6B;PDE6B;PDE6B
cg25697152,-0.039695062802901374,0.09676646102878339,-4.836802658318815,2.6309023921513884e-6,0.008651597235523547,2.9101193872408757,TEAD4;TEAD4;TEAD4
cg06650786,-0.08305171894100954,0.19504585530833826,-4.827851641914438,2.7389691960199205e-6,0.008936048752164362,2.8712300047166526,NOTCH3
cg14441480,-0.15825090787299634,0.6547048637377589,-4.806675112838181,3.011997185620087e-6,0.009750046670904336,2.7794515767661334,HLA-DQB2
cg07160118,-0.10227005318255494,0.3364464666134937,-4.771807996589408,3.5197835150177167e-6,0.011305462794806324,2.6290359697366537,TAPBP;TAPBP;TAPBP;ZBTB22;ZBTB22
cg09739413,-0.16878433954410021,0.7078160928230295,-4.748230019189521,3.909023621022267e-6,0.012459110709634395,2.5278149864753576,HLA-DQB2
cg10340038,-0.022398118792261307,0.10467657981515606,-4.737320786532039,4.1028864595096346e-6,0.01297717931347725,2.4811165264111636,ABI2
cg03723356,-0.09821488578011206,0.5435652477887143,-4.73485504687598,4.147973033415206e-6,0.013020393079775936,2.470573463730995,CDK5RAP3
cg23120345,-0.01836658339761843,0.893184971438692,-4.723533901066417,4.361195605713651e-6,0.013586763859018218,2.422222519611175,LOC285456
cg22429776,-0.0016953342737311902,0.012651048129378574,-4.690958019163474,5.035414402451093e-6,0.015570140153608943,2.2836122236077756,ST7L;ST7L;CAPZA1;ST7L;ST7L;CAPZA1
cg03465891,-0.008823849294446705,0.0574581520783957,-4.683486106076203,5.20367783368872e-6,0.015853808029409947,2.25192758700911,RUNX2;RUNX2;RUNX2;RUNX2
cg07462804,-0.0025149366697919066,0.015120760313822566,-4.67667157101671,5.361856941627556e-6,0.016216486237070584,2.223065883493865,PRDM8
cg01185530,-0.005684720408626571,0.02186661707774913,-4.642701890293118,6.222099796490148e-6,0.018547452807026694,2.0796973501274003,DNAJC3;DNAJC3
cg15373950,-0.011296698696181384,0.09578714255269548,-4.6160439874297445,6.988894794696705e-6,0.020684382955061472,1.9677775581203711,APAF1;APAF1;APAF1;APAF1;IKBIP;APAF1;APAF1;IKBIP;APAF1;APAF1;IKBIP;APAF1;APAF1
cg16727519,0.0492702648747948,0.6037562196782936,4.596232801785168,7.616922116832539e-6,0.02238321698226226,1.8849398376957645,LOC440926;H3F3A
cg00844376,-0.0036926451640455875,0.02215137194493915,-4.58210444816983,8.097646549239986e-6,0.023527558744316102,1.8260401034570517,MARVELD1;MARVELD1;MARVELD1
cg07666098,-0.01069733080063115,0.041762339084163345,-4.581470096011832,8.11990225642207e-6,0.023527558744316102,1.823398993770704,ALG9;ALG9;ALG9;ALG9
cg17920868,-0.005126988121572404,0.04287790679966364,-4.556398614216959,9.048252802069677e-6,0.02585585039499007,1.7192518537878883,MOBKL1A
cg07519873,-0.00744155508359973,0.02093731271745198,-4.511208448271786,1.0985669772766898e-5,0.03117710508217192,1.5327046296129758,CACNG8
cg23530245,-0.008012844952219975,0.06324805807242212,-4.507169495000086,1.1177058753521582e-5,0.03150447897433946,1.5161053365889003,TMEM123
cg18914514,-0.009370442297590834,0.05087951736800599,-4.503371295461445,1.1359962535853794e-5,0.03180367349269149,1.500506553458484,GREB1L
cg04055615,-0.003841139849344928,0.02496730473739602,-4.500596477815088,1.1495401072460892e-5,0.0319668587742873,1.4891174658444264,DDAH2
cg19941450,-0.0028847103645495906,0.01849953985288815,-4.498565087595153,1.159553616705198e-5,0.03203034955424768,1.4807833661804928,ACPL2;ACPL2
cg18052665,0.02111407241517549,0.968489847939164,4.494155884033788,1.1815777273958589e-5,0.03242257108992299,1.462704475735329,DPPA5
cg01825831,-0.004294192550074908,0.03329313889247323,-4.467052877960256,1.3260560310172485e-5,0.03587766416255182,1.3518932461965818,CCDC13
cg13614045,-0.003491547649216959,0.022783635382861406,-4.465740142238381,1.3334685542320966e-5,0.03587766416255182,1.346540015295579,PITPNC1;PITPNC1
cg01418291,-0.007700754191970922,0.05075156314503618,-4.463525381078198,1.3460648327051284e-5,0.035982918264981054,1.3375113158647398,KCNQ3
cg05812269,-0.023111743018222747,0.14900353390000534,-4.457834426259602,1.3789583171377363e-5,0.03662592845605355,1.3143283745533232,RIOK3;RIOK3
cg03614664,-0.0028692929322220763,0.029137562071141557,-4.440776063919045,1.4822475368784729e-5,0.0388710035232855,1.2449838264462265,RBX1
cg00834319,-0.006063440467734757,0.049496438287759556,-4.411088542270798,1.6799749564634807e-5,0.043505576458491305,1.124820474335774,ZBTB25;ZBTB1;ZBTB1
cg23065174,-0.008479382920049655,0.056572615940086765,-4.399127509243489,1.766594758878048e-5,0.04546457797312577,1.0765942343246397,ALG6
cg14470209,-0.004942093377629589,0.04081946591275119,-4.3881323662256655,1.849989089099252e-5,0.047316896859433924,1.0323575239919975,ACAD9
