chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr2	63280625	63287288	-0.119257559308146	4.05475701647697	81003	44340	44373	34	40	1.33454024300037e-06	0.022	3.03304600681902e-06	0.05
chr12	54396990	54396990	-0.252470209356457	0.252470209356457	34421	234224	234224	1	1	5.94477017336527e-06	0.074	0.0380060076148866	1
chr7	96636616	96637152	-0.201111515430863	0.603334546292589	131816	153786	153788	3	8	2.48709772559159e-05	0.202	0.00448757354984914	1
chr2	172952883	172953630	-0.161028478184413	1.28822782547531	85330	53819	53826	8	8	2.80253451030077e-05	0.24	0.000371244831234647	0.962
chr8	72469430	72471153	-0.149234091005133	1.49234091005133	139139	171290	171299	10	12	2.68121267002801e-05	0.254	0.000212434542317604	0.872
chr12	114836014	114839476	-0.122722778139783	1.84084167209674	36967	240498	240512	15	15	2.43856898948249e-05	0.28	9.75427595792995e-05	0.684
chr10	50605613	50605707	-0.195611434435583	0.391222868871165	17800	192300	192301	2	3	5.41095407616512e-05	0.294	0.014072362896918	1
chr9	129380728	129380728	-0.210114190271619	0.210114190271619	145017	183223	183223	1	1	7.29144260039291e-05	0.344	0.0551143282427902	1
chr2	48982509	48982957	0.168529296753478	0.842646483767389	80619	43429	43433	5	6	5.39882189213785e-05	0.35	0.00164099921152936	0.998
chr1	243053673	243053673	0.205653803218019	0.205653803218019	14862	35799	35799	1	1	9.57229319752081e-05	0.394	0.0574711263119289	1
chr7	27283409	27283545	-0.179790519865218	0.539371559595654	129051	147603	147605	3	4	7.86165524967489e-05	0.426	0.00612481178433005	1
chr3	157821919	157822072	-0.166643735245266	0.666574940981065	103099	77558	77561	4	4	9.46310354127533e-05	0.468	0.00335721796402783	1
chr19	13875014	13875111	0.181946336573347	0.363892673146693	72666	330235	330236	2	12	0.000114163851696668	0.468	0.0167659503946539	1
chr7	27285433	27286234	-0.158686578820371	0.793432894101855	129053	147609	147613	5	7	9.48736790932988e-05	0.474	0.00198397605398045	0.998
chr14	61122051	61122155	-0.181171358960478	0.362342717920956	44103	258750	258751	2	2	0.000119502012668669	0.484	0.0169407751664869	1
chr19	289902	289902	-0.200410006843167	0.200410006843167	69819	322701	322701	1	1	0.000133696667980582	0.49	0.0605024738129841	1
chr20	22562478	22562478	-0.194776915858931	0.194776915858931	89955	345673	345673	1	1	0.000183923909853505	0.554	0.0639827121230485	1
chr3	157820591	157820591	-0.194691701234881	0.194691701234881	103097	77555	77555	1	1	0.000185137128256233	0.556	0.064037670916692	1
chr19	51170356	51172144	0.133292438412506	1.19963194571256	76423	340387	340395	9	9	9.86346561417544e-05	0.56	0.000476794832271949	0.974
chr12	123380878	123381003	0.158852230402295	0.635408921609178	37675	242409	242412	4	10	0.000147770001452222	0.564	0.00386519250924988	1
chr15	76638473	76638473	-0.193038083334109	0.193038083334109	50709	274142	274142	1	2	0.000205276553741511	0.584	0.0651165860422377	1
chr4	41880280	41880987	-0.143220303807042	1.00254212664929	107197	87477	87483	7	28	0.000109674943606576	0.586	0.0009250790320798	0.996
