probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.166693863603799,0.8528533403391698,-16.51089613762085,9.736559829869524e-24,4.0342948827072875e-18,43.65206475562327,RFTN1
cg24016844,0.033835583443252805,0.05594282819921025,12.7476859913506,1.4597344669681559e-18,3.024168388579603e-13,31.678416844490904,C1orf103;C1orf103
cg03687700,-0.09360161799352984,0.10522365941610964,-10.596897585253117,2.957179591291597e-15,4.084308592512389e-10,24.03146326450782,FKBP1B;FKBP1B
cg12611723,-0.027667540315623528,0.045275009441018435,-9.409462678090613,2.492224143616848e-13,2.581601531967307e-8,19.584326379899462,NPDC1
cg22266749,0.09443003709596179,0.06898671167534527,9.083184311018876,8.631604558855697e-13,7.152924381878127e-8,18.339823939876638,COL25A1;COL25A1
cg17238319,-0.11092543779891473,0.8404710716801758,-8.838925953715218,2.2000007494090004e-12,1.5192655175231205e-7,17.40303097624537,RFTN1
cg12052203,0.10740360967327083,0.05916225826816463,8.418634678571518,1.1112092155997443e-11,6.577485463395372e-7,15.782602087667666,B3GNT1;B3GNT1
cg12614687,-0.02571896689389889,0.04804534011091631,-8.179427178044703,2.805939047127473e-11,1.453283518102541e-6,14.85659246646836,OTP
cg03608000,-0.020410145745104125,0.0326340525341379,-8.074552922445012,4.215089851626519e-11,1.9405571161913223e-6,14.449978570001576,ZNF69
cg02325951,0.1193086047026799,0.6676829885229496,7.93977440402819,7.11531185064119e-11,2.948193888753924e-6,13.926998358325168,FOXN3;FOXN3
cg03691818,-0.054381926157040586,0.057832880074334264,-6.748408311863794,7.336760768495485e-9,2.5332917838518846e-4,9.307862084545818,KRT77
cg16383222,-0.02761229441914881,0.1034209145961733,-6.5862183456868575,1.3753995945571424e-8,4.0706424643341366e-4,8.683650843124482,CYHR1
cg03614513,-0.016777251163591585,0.06428219135731711,-6.156416567742312,7.205167461748412e-8,0.001990283407958764,7.04164712677377,TSPAN2
cg25294185,0.09396665497628166,0.10407200221058989,5.987535090650057,1.374384498891389e-7,0.003559183407457204,6.402636514412747,RNASEH2C
cg07852945,-0.07159968804296055,0.09166225736984104,-5.933331364303825,1.689707023424399e-7,0.004118362686004603,6.198428472950778,TLE1
cg12204423,0.01056325633117957,0.04073938101687129,5.426646138742038,1.1410209696154005e-6,0.023614260073339652,4.314619910818965,PHF17;PHF17
cg12451679,0.015617163695424444,0.048999764813597545,5.413829295945015,1.196827430137042e-6,0.023614260073339652,4.267638120657183,ZC3H4
cg22874695,0.01055025605480061,0.03588926547205315,5.290262494646793,1.8934373029203256e-6,0.035660739967205556,3.8166287660391722,C8orf40;C8orf40;C8orf40;C8orf40;C8orf40;SLC20A2
cg13192180,0.15063345989848742,0.7135506434656694,5.188312195295492,2.757999580738043e-6,0.04968536244699585,3.4472955222378934,NOL11
