chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr3	16411667	16411667	-0.189010591916449	0.189010591916449	114261	74433	74433	1	1	7.02553818257055e-07	0.004	0.0561733930925611	1
chr4	6010075	6010164	0.155106129085139	0.310212258170278	124808	97721	97722	2	2	7.72809200082761e-06	0.044	0.0184420377292477	1
chr2	191555076	191555076	0.162010482759637	0.162010482759637	101134	63597	63597	1	1	1.44023532742696e-05	0.068	0.07624746334162	1
chr8	1321333	1321727	0.139774344403332	0.419323033209996	163083	191048	191050	3	4	2.38868298207399e-05	0.104	0.00846471967927013	1
chr6	100050480	100051480	-0.105985934013211	1.05985934013211	147762	155411	155420	10	12	3.7937906185881e-05	0.152	0.000388512261496152	0.73
chr6	32729442	32729596	-0.118666323264234	0.711997939585404	144522	146268	146273	6	29	5.23402594601506e-05	0.19	0.00167278064127005	0.988
chr6	99275305	99275391	-0.132304664575119	0.396913993725357	147703	155220	155222	3	11	5.93657976427212e-05	0.202	0.0098410226092357	1
chr2	63281069	63285365	-0.0699537146410362	1.60893543674383	94789	50272	50294	23	41	5.16377056418936e-05	0.214	8.67653965547463e-05	0.32
chr6	100052633	100054118	-0.107956255126288	0.863650041010308	147763	155423	155430	8	24	7.34168740078623e-05	0.264	0.000838849258998924	0.918
chr6	49681178	49681774	-0.101730097477312	0.915570877295811	146330	152289	152297	9	9	9.66011500103451e-05	0.338	0.000677261880799801	0.862
chr4	650632	651113	-0.130041012688514	0.260082025377027	123716	94604	94605	2	2	0.000128567348741041	0.344	0.0280817786695528	1
chr5	179740743	179741120	-0.117785702873651	0.471142811494602	141153	133129	133132	4	4	0.000143320978924439	0.382	0.00606022923628536	1
chr13	36553414	36553414	-0.141872787921042	0.141872787921042	47667	287707	287707	1	1	0.000144726086560953	0.398	0.0920587882984041	1
chr15	74421523	74422330	0.0769260711266906	1.15389106690036	60776	317305	317319	15	29	0.000124352025831499	0.42	0.000274698542938509	0.646
chr6	164506197	164507305	-0.0936141197467145	0.936141197467145	151074	162345	162354	10	10	0.000141564594378797	0.434	0.000627731836612679	0.85
chr19	2251588	2253854	-0.0833644950577273	1.08373843575045	83145	373445	373457	13	13	0.000141915871287925	0.446	0.000352330739855913	0.708
chr3	138152837	138152902	-0.124491714754615	0.248983429509229	120540	87671	87672	2	15	0.000236760636752628	0.476	0.0310662272895087	1
chr1	220564510	220564510	-0.137871442741968	0.137871442741968	15749	36868	36868	1	1	0.000219196791296201	0.484	0.0969531294732919	1
chr6	27106988	27107756	0.101993125670795	0.713951879695568	143373	138042	138048	7	8	0.000202335499658032	0.51	0.00165802701108665	0.988
chr4	644572	645551	-0.104893792297979	0.629362753787873	123713	94578	94583	6	18	0.000226222329478772	0.51	0.00249266094717603	0.998
chr2	201542610	201542610	-0.134814179547319	0.134814179547319	101501	64368	64368	1	1	0.000301395588032277	0.554	0.101313881023213	1
chr6	157041096	157041162	-0.12133064419693	0.242661288393859	150463	161107	161108	2	4	0.000325633694762145	0.562	0.0330003579511704	1
chr1	34642184	34643106	-0.0821877401287542	0.986252881545051	5509	13265	13276	12	14	0.000222358283478358	0.572	0.000519538548601092	0.812
chr12	54070527	54071672	-0.0810496449935307	0.972595739922369	40895	271475	271486	12	23	0.000244137451844327	0.598	0.00054623559369486	0.82
chr11	93277161	93277191	-0.116027398763895	0.348082196291684	34400	257013	257015	3	8	0.000335469448217744	0.604	0.0138937043098515	1
chr1	91184770	91185922	-0.0900137207149582	0.810123486434623	9078	21428	21436	9	26	0.000289803450031035	0.62	0.00107139457284201	0.944
chr7	157281167	157281332	-0.115498219107164	0.346494657321492	162267	188911	188913	3	3	0.000351979462946785	0.62	0.0140514276420502	1
chr14	94254131	94254351	-0.119190172987892	0.238380345975784	55231	304887	304888	2	6	0.000401509507133907	0.632	0.0344086270798667	1
chr1	40149432	40149837	-0.115250555334717	0.345751666004151	6073	14647	14649	3	4	0.000364625431675412	0.634	0.0141234394084216	1
chr4	169402197	169402298	-0.118304867040548	0.236609734081096	130622	110005	110006	2	10	0.000440501244047174	0.658	0.0349949082412022	1
chr5	67483833	67484212	-0.107801452412787	0.431205809651149	134778	119185	119188	4	6	0.000414155475862534	0.668	0.00784225699629438	1
chr19	38684237	38684328	0.113157950206126	0.339473850618378	87233	384683	384685	3	3	0.000444014013138459	0.672	0.0147880553204928	1
chr1	182557982	182557982	-0.130121139243443	0.130121139243443	13544	32313	32313	1	1	0.000502325980053794	0.69	0.109349340319529	1
chr6	157521999	157521999	0.129220112548414	0.129220112548414	150527	161195	161195	1	3	0.000548343255149632	0.722	0.111040738636982	1
chr15	39742079	39742079	-0.129136920402999	0.129136920402999	58047	311344	311344	1	1	0.000553261131877431	0.722	0.111198461969181	1
chr15	89312795	89313222	-0.0940138297125071	0.65809680798755	61929	319878	319884	7	7	0.00042715272150029	0.726	0.00217018874459604	0.992
chr3	16428391	16428391	-0.128964261758916	0.128964261758916	114262	74434	74434	1	1	0.00056309688533303	0.726	0.111519880341034	1
chr1	68084465	68084465	-0.128938530180861	0.128938530180861	8289	19742	19742	1	1	0.000564150716060415	0.726	0.111566951446857	1
chr7	105172168	105172168	-0.128886460555096	0.128886460555096	158913	181523	181523	1	9	0.000567312208242572	0.728	0.111666714089049	1
chr10	50820803	50822175	-0.0743034214303453	0.891641057164143	20974	223462	223473	12	18	0.00037937906185881	0.732	0.000738735339897294	0.878
chr2	158038801	158038801	0.128591949339987	0.128591949339987	99570	60171	60171	1	1	0.00058452477678987	0.734	0.112251590142748	1
chr17	29297391	29297478	-0.101687852964442	0.508439264822209	73814	349124	349128	5	17	0.000481249365506083	0.74	0.00486026731470231	1
chr10	80008319	80008319	-0.128313223684675	0.128313223684675	22478	226573	226573	1	3	0.000605601391337582	0.74	0.112796771905716	1
chr14	105070749	105071714	0.0933356916634319	0.653349841644023	56565	308150	308156	7	8	0.000458416366412729	0.742	0.00222463666551097	0.992
chr11	84028562	84028582	-0.11536567418644	0.23073134837288	34092	256406	256407	2	3	0.000590847761154184	0.744	0.0370583088054232	1
chr6	107955689	107955689	0.12805816640806	0.12805816640806	148037	156074	156074	1	2	0.000620706298430108	0.746	0.11331912066959	1
chr10	124638756	124639167	-0.0773383786530106	0.850722165183117	25464	233522	233532	11	18	0.000425396336954647	0.748	0.000891189518459075	0.928
chr1	180202530	180205253	-0.0733822584980693	0.880587101976831	13383	31998	32009	12	15	0.000403968445497807	0.754	0.000778780907537946	0.896
chr17	45949677	45949878	-0.100980220172139	0.504901100860697	75895	354505	354509	5	5	0.000512513010418522	0.754	0.00495335569562137	1
chr11	132582488	132582640	-0.110338613022894	0.331015839068683	37135	262908	262910	3	4	0.00059646819170024	0.76	0.0157319363753211	1
chr2	24271844	24271844	-0.126605227891027	0.126605227891027	92417	45290	45290	1	13	0.00071344340244004	0.786	0.116375932332826	1
chr10	133107407	133107407	-0.126599470779011	0.126599470779011	26242	235487	235487	1	1	0.000714145956258297	0.788	0.116389632132282	1
chr11	122073211	122073541	-0.113210819201429	0.226421638402858	36153	260915	260916	2	7	0.000736627678442522	0.79	0.0385782839912223	1
chr10	128250156	128250156	-0.126256173650597	0.126256173650597	25818	234355	234355	1	1	0.000744004493534222	0.796	0.117161036224729	1
chr2	37734390	37734390	-0.126059428208956	0.126059428208956	93344	47386	47386	1	1	0.000759109400626748	0.802	0.117586783838592	1
chr11	2812674	2813298	-0.102511137081103	0.410044548324412	27824	240805	240808	4	5	0.000690259126437557	0.812	0.00900182207332765	1
chr6	3386584	3386584	-0.124984695183032	0.124984695183032	141710	134536	134536	1	1	0.000844820966454109	0.828	0.119943851898845	1
chr14	89878619	89878619	0.124585941936329	0.124585941936329	54830	304048	304048	1	6	0.000881705041912604	0.83	0.120867007616035	1
chr3	170137240	170138205	-0.0923618044373323	0.554170826623994	121823	90568	90573	6	17	0.000760163231354134	0.842	0.003747070789674	1
chr16	49311736	49312543	0.0919121142494585	0.551472685496751	66823	331882	331887	6	8	0.000792480706993958	0.85	0.00379976232604328	1
chr19	2250561	2251067	-0.0961365583175014	0.480682791587507	83144	373440	373444	5	5	0.000836039043725896	0.86	0.00572897511097716	1
chr6	99271709	99271709	-0.123496280182776	0.123496280182776	147702	155202	155202	1	18	0.000975144699740793	0.86	0.123467510574313	1
chr10	130832268	130832393	-0.104675860689632	0.314027582068896	26004	234758	234760	3	3	0.00102678240538269	0.866	0.0178993149046441	1
chr20	29551622	29551622	-0.122999554076278	0.122999554076278	106059	396674	396674	1	1	0.00102256708247314	0.87	0.124649206096622	1
chr2	237079766	237080535	-0.0900810224593847	0.540486134756308	103959	69522	69527	6	7	0.000932991470645369	0.88	0.00403371274752288	1
chr10	80416566	80416672	-0.109334141197681	0.218668282395363	22519	226625	226626	2	2	0.00110406332539096	0.88	0.0415304151355384	1
chr2	218843229	218843229	-0.121979192579617	0.121979192579617	102452	66169	66169	1	5	0.00114340633921336	0.89	0.127200530287622	1
chr8	72469430	72469560	0.0973437121742574	0.38937484869703	166913	199392	199395	4	7	0.00117045466121625	0.898	0.0103535356196542	1
