probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg24016844,0.035637947242713075,0.06572914537019962,39.27290535984155,8.097669036749939e-176,3.355228677032153e-170,391.5946116866283,C1orf103;C1orf103
cg11643285,-0.1752623269518948,0.7930715719189579,-31.71061112834909,2.1148510231022522e-135,4.381389735836514e-130,298.55212512547945,RFTN1
cg25294185,0.1154017191847285,0.13010319472489348,25.97298128474211,2.2234148243959519e-103,3.070869384714469e-98,224.8509186520108,RNASEH2C
cg17238319,-0.13103113832830438,0.7935557885813442,-24.254953367173286,1.0088790419126232e-93,1.0450599665532146e-88,202.63084285080708,RFTN1
cg12611723,-0.019765835176014004,0.040756389960278624,-18.57917249331094,1.9249003365304503e-62,1.3292880498995158e-57,130.6938632641279,NPDC1
cg02325951,0.0959329784848757,0.7051473303527219,18.53568776236374,3.2840506020867117e-62,1.9438999238880263e-57,130.1606538051859,FOXN3;FOXN3
cg07852945,-0.04202374825714792,0.06406085627615475,-16.796612321122474,4.351153224769299e-53,2.253598228646294e-48,109.20109346333489,TLE1
cg22266749,0.0834140509736106,0.08221176713499362,16.70479566481833,1.290604369535409e-52,5.941727416612768e-48,108.1165316338283,COL25A1;COL25A1
cg12052203,0.08603432241107407,0.07052217451793852,16.24612001207527,2.8421484611263382e-50,1.1776300041253926e-45,102.7358855488639,B3GNT1;B3GNT1
cg04946709,0.058976947340169006,0.8365855479270418,15.29647809601681,1.6326080983077888e-45,6.14966365903037e-41,91.809227646859,LOC644649
cg03687700,-0.07987340078460697,0.0854010671710295,-14.60734116768734,3.8126045850870676e-42,1.3164447056732509e-37,84.07922441260409,FKBP1B;FKBP1B
cg00243574,0.038682768647453326,0.07682360148352407,14.287644605575487,1.309797190993254e-40,4.174676285400768e-36,80.55536138235651,HOXC4;HOXC5;HOXC4;HOXC6;HOXC6
cg16383222,-0.01928478918766112,0.09226456993530377,-14.234021982715229,2.361044851496387e-40,6.52191419328847e-36,79.96834356381474,CYHR1
cg22345911,-0.011326632392209535,0.021387676494594592,-13.908280655498167,8.253223820025978e-39,2.137301264817915e-34,76.42806609331386,CSNK1D;CSNK1D;CSNK1D;CSNK1D
cg17612569,0.016091918027062682,0.03980151054284671,12.747868326591979,1.7854203916098978e-33,4.351647130362371e-29,64.1980636283053,GABPA;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J
cg12204423,0.014400115146612366,0.045110527776167905,12.67821794130301,3.658769653922821e-33,8.422182845859174e-29,63.48415309813588,PHF17;PHF17
cg03691818,-0.037825149208023455,0.03346264983353658,-12.613502222600614,7.111054194688088e-33,1.5507525001568611e-28,62.822970745704396,KRT77
cg25304146,0.05635656894713559,0.6549480104071245,12.566112989238897,1.155314323624474e-32,2.3934935671109136e-28,62.34012955962231,WBP11P1
cg02758552,-0.06509372876795108,0.22928488098960648,-12.517047163797756,1.9072881165983124e-32,3.763215688913942e-28,61.841389934050284,GPX1;GPX1;GPX1;GPX1
cg01225095,-0.014626744791874868,0.062020025441246705,-11.887761554706426,1.0611469815513806e-29,1.9116562872648121e-25,55.554545054645686,YARS2
cg17743279,-0.0034987954343818333,0.01390446988613397,-11.303029476082468,3.1275088466694123e-27,5.399448554471824e-23,49.90348350953883,CDK6;CDK6
cg16169375,-0.009992963769126263,0.03446304961793739,-11.062199375088735,3.078049971944623e-26,4.905286983174595e-22,47.63211818619048,C6orf108;C6orf108
cg12900929,-0.02335396668497853,0.05396409625196651,-10.833014852693774,2.629560857490315e-25,4.035353309247498e-21,45.5020495206377,PRDM4;PRDM4
cg08034535,-0.01103637796715213,0.037218770299286705,-10.567920011537636,3.024969383666907e-24,4.476360497412373e-20,43.077402525752234,RAB33B
cg01293379,-0.017002732701258468,0.059256252485846386,-10.50366706294326,5.43367094633256e-24,7.763497890545394e-20,42.496161526367246,RAB12
cg25918716,-0.010511550821412502,0.07181828594545635,-10.37084288825662,1.809186953671912e-23,2.4987585610639613e-19,41.30269350580308,ZSWIM5
cg09067967,-0.02255687925995912,0.026859074652940185,-10.296985345862227,3.51505921101156e-23,4.69821680253737e-19,40.643809107027394,UGDH
cg16398944,-0.004265431441183548,0.027828151464187288,-10.062406673124721,2.833575636120209e-22,3.453170285141847e-18,38.57393979059546,PRIM2
cg24016624,0.008397935684556664,0.042039635105188634,9.966554311293333,6.5824872822079255e-22,7.79263055127555e-18,37.73826592465578,RELB
cg07816873,-0.024444792074414134,0.08711558428020022,-9.946218597740538,7.8654932859405015e-22,9.052855043230603e-18,37.561733834039075,ERC1;ERC1;ERC1;ERC1;ERC1;ERC1;ERC1
cg24474701,-0.00255359076438837,0.012155028318991583,-9.770324957879641,3.629560468100344e-21,4.0645681950136135e-17,36.04604120345195,"NARS;NARS"
cg12198769,0.03038847676651532,0.16994671163250563,9.600868415069167,1.5540834415893524e-20,1.680808335887214e-16,34.60504260908385,COX5B
cg25568337,-0.029950798502308876,0.12190649684718857,-9.598776527762682,1.5820517949921282e-20,1.680808335887214e-16,34.587372990410884,ARID1B;ARID1B;ARID1B
cg17561891,-0.022276559442792943,0.07310076037141898,-9.43482407767197,6.34536534774784e-20,6.572926012531447e-16,33.2116264491938,C7orf23
cg23120345,-0.023424408187822654,0.8884748213123788,-9.43074341188646,6.567081095447525e-20,6.636676137788303e-16,33.17761575061998,LOC285456
cg26213873,-0.00700241203233095,0.044725834169120286,-9.392029138055989,9.091649002191745e-20,8.969236442412236e-16,32.85550855324142,CTTNBP2NL
