chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr13	100640914	100644657	0.101533673648244	2.63987551485434	49839	292182	292207	26	26	0	0	0	0
chr11	2291754	2293181	-0.086680204505536	2.60040613516608	27679	240264	240293	30	47	0	0	0	0
chr2	54086854	54087517	0.112128988038659	1.34554785646391	94353	49282	49293	12	13	0	0	2.90190924900661e-05	0.028
chr6	49681178	49681774	-0.133779929529422	1.2040193657648	146330	152289	152297	9	9	0	0	4.76742233765372e-05	0.042
chr3	147105899	147107349	0.138595379030024	1.10876303224019	120920	88579	88586	8	8	0	0	7.46205235458844e-05	0.062
chr1	45082840	45083278	-0.119662645988747	0.717975875932483	6686	16156	16161	6	6	0	0	0.000530634834104067	0.29
chr16	31487813	31489209	-0.10762263545019	0.645735812701142	66535	331299	331304	6	6	0	0	0.000833262512929042	0.376
chr7	157258677	157259343	-0.128649252968753	0.643246264843765	162259	188886	188890	5	5	0	0	0.000849844851494794	0.378
chr2	202901045	202901470	0.111235836101793	0.556179180508967	101632	64679	64683	5	5	0	0	0.00157739495606717	0.538
chr1	44726943	44727313	-0.110091356881197	0.550456784405984	6644	16067	16071	5	5	0	0	0.00166030664889593	0.542
chr19	2250561	2251067	-0.107846922204198	0.539234611020989	83144	373440	373444	5	5	0	0	0.00178674698045979	0.558
chr13	100626995	100627366	0.127233656173252	0.508934624693008	49831	292144	292147	4	4	0	0	0.0022137421985279	0.602
chr11	117665395	117666000	-0.127182682268168	0.508730729072673	35636	259665	259668	4	4	0	0	0.00221788778316934	0.602
chr2	239695552	239696014	-0.123807533707177	0.49523013482871	104320	70258	70261	4	4	0	0	0.00244589493844843	0.634
chr10	86016597	86016954	-0.119137341390961	0.476549365563845	22841	227187	227190	4	4	0	0	0.002758886578877	0.658
chr6	134491163	134491531	-0.116977158718016	0.467908634872066	149233	158593	158596	4	4	0	0	0.00291849158757237	0.676
chr11	2812674	2813298	-0.11150798313453	0.446031932538119	27824	240805	240808	4	5	0	0	0.00340974336758277	0.718
chr19	4045025	4045108	-0.109751652993181	0.439006611972725	83685	374789	374792	4	4	0	0	0.00358593071484389	0.73
chr19	41106155	41106351	-0.10868374820426	0.43473499281704	87647	385825	385828	4	4	0	0	0.00368127916159696	0.734
chr15	70168944	70169112	-0.140775574456939	0.422326723370817	60365	316558	316560	3	3	0	0	0.00405230898700566	0.754
chr10	48573302	48573444	-0.133875139583165	0.401625418749496	20843	223166	223168	3	3	0	0	0.00486484357672752	0.794
chr4	24801110	24801801	-0.12278259634294	0.36834778902882	125891	100008	100010	3	4	0	0	0.00645674807903972	0.854
chr13	100630170	100630430	0.121291152519999	0.363873457559997	49833	292150	292152	3	4	0	0	0.00673450225001606	0.86
chr12	117797056	117797209	-0.117770130812047	0.353310392436141	44545	280023	280025	3	3	0	0	0.00742059650817406	0.886
chr15	86233214	86233236	-0.116977363993651	0.350932091980953	61796	319614	319616	3	3	0	0	0.00756983755526582	0.886
chr4	6010075	6010164	0.145719878226333	0.291439756452665	124808	97721	97722	2	2	0	0	0.0130751739590955	0.96
chr1	9527173	9527208	-0.140057097481336	0.280114194962672	2219	5766	5767	2	2	0	0	0.0145903851455411	0.968
