chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr13	100640914	100644657	0.101048723465147	2.52621808662869	41409	251512	251536	25	25	0	0	0	0
chr3	16411667	16411667	-0.160653530988762	0.160653530988762	97620	64920	64920	1	1	1.81158654522596e-06	0.006	0.0683523680757388	1
chr20	30072118	30072314	-0.126611663269361	0.253223326538721	90126	346118	346119	2	4	6.82364265368444e-05	0.072	0.0235814220592063	1
chr11	2292361	2293074	-0.0711285640556667	1.35144271705767	23496	207111	207129	19	42	2.77776603601313e-05	0.082	5.73669072654886e-05	0.14
chr1	159111423	159111423	0.133106015243812	0.133106015243812	10474	25963	25963	1	1	0.000121376298530139	0.108	0.0923142233094425	1
chr12	49658188	49659154	0.0900812628006275	1.08097515360753	33792	232506	232517	12	12	4.71012501758749e-05	0.116	0.00016726982434253	0.29
chr17	38024394	38024394	-0.131664655955791	0.131664655955791	62863	304215	304215	1	4	0.000141907612709367	0.116	0.094672305129145	1
chr14	32673368	32673368	0.128834621527473	0.128834621527473	43257	256577	256577	1	1	0.000225240593789761	0.14	0.0998003027764979	1
chr5	140864020	140864834	0.0993595673846613	0.79487653907729	115727	108363	108370	8	8	8.3936843262136e-05	0.146	0.000609296941377663	0.566
chr6	29974715	29975078	-0.0649460846986247	1.10408343987662	120354	119822	119838	17	31	6.21978047194245e-05	0.16	0.000150361683253754	0.27
chr3	138657291	138659021	-0.0774966967361072	1.00745705756939	102480	75998	76010	13	13	9.11831894430398e-05	0.186	0.000223429007244535	0.33
chr1	243053673	243053673	0.124710930722631	0.124710930722631	14862	35799	35799	1	1	0.000379829312315709	0.204	0.10871330857901	1
chr3	134516302	134516302	-0.124690134456093	0.124690134456093	102313	75589	75589	1	15	0.000379829312315709	0.204	0.108756182793913	1
chr6	27206911	27206911	-0.1234749077116	0.1234749077116	119959	117960	117960	1	2	0.000452896636306489	0.228	0.111658948301547	1
