chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr11	2291754	2293181	-0.0924817422311642	2.77445226693493	27679	240264	240293	30	47	0	0	0	0
chr13	100640914	100644657	0.097371654179346	2.531663008663	49839	292182	292207	26	26	0	0	0	0
chr6	10419016	10422636	-0.0758519802924138	1.89629950731035	142200	135579	135603	25	25	0	0	6.0298477463444e-06	0.006
chr2	54086854	54087517	0.117968868684084	1.41562642420901	94353	49282	49293	12	13	0	0	2.61293402341591e-05	0.026
chr6	30651825	30653167	-0.0843951622274197	1.35032259563872	144028	141896	141911	16	30	0	0	3.81890357268479e-05	0.038
chr6	49681178	49681774	-0.133987685547295	1.20588916992566	146330	152289	152297	9	9	0	0	5.62785789658811e-05	0.05
chr3	147105899	147107349	0.142385560662509	1.13908448530007	120920	88579	88586	8	8	0	0	6.63283252097885e-05	0.06
chr19	2251588	2253854	-0.087079452694425	1.13203288502753	83145	373445	373457	13	13	0	0	7.63780714536958e-05	0.068
chr8	1765066	1765477	-0.100077661279653	1.10085427407619	163215	191376	191386	11	16	0	0	8.64278176976031e-05	0.076
chr2	58273438	58274524	0.103073724556996	1.03073724556996	94547	49716	49725	10	11	0	0	0.000110547208682981	0.092
chr14	101922750	101924186	-0.0985580875346557	0.887022787811901	56026	306762	306770	9	16	0	0	0.000186925280136677	0.136
chr5	140856971	140858046	0.0969978615834358	0.872980754250923	138311	127042	127050	9	10	0	0	0.00020501482337571	0.146
chr1	91184770	91185749	-0.108927588128765	0.871420705030116	9078	21428	21435	8	26	0	0	0.00020501482337571	0.146
chr10	77871618	77872288	-0.111411818124861	0.77988272687403	22308	226334	226340	7	8	0	0	0.000333651575297724	0.204
chr1	91300215	91300559	-0.110920420559305	0.776442943915134	9086	21478	21484	7	7	0	0	0.000339681423044068	0.208
chr1	45082840	45083278	-0.124148926455562	0.74489355873337	6686	16156	16161	6	6	0	0	0.000434149037736797	0.248
chr16	31487813	31489209	-0.114178744978993	0.685072469873955	66535	331299	331304	6	6	0	0	0.000651223556605196	0.314
chr7	157258677	157259343	-0.135015306941236	0.675076534706181	162259	188886	188890	5	5	0	0	0.000679362846088136	0.322
chr1	44726943	44727313	-0.11683625443689	0.58418127218445	6644	16067	16071	5	5	0	0	0.00126425807748354	0.454
chr19	2250561	2251067	-0.115572116263944	0.57786058131972	83144	373440	373444	5	5	0	0	0.00132053665644942	0.466
chr2	202901045	202901470	0.114947609416606	0.57473804708303	101632	64679	64683	5	5	0	0	0.00134264609818602	0.47
chr11	117665395	117666000	-0.129350985034505	0.517403940138019	35636	259665	259668	4	4	0	0	0.00204411838601075	0.578
chr2	239695552	239696014	-0.1259656538545	0.503862615418	104320	70258	70261	4	4	0	0	0.00226923270187428	0.614
chr10	86016597	86016954	-0.124347284479186	0.497389137916746	22841	227187	227190	4	4	0	0	0.00236772021506457	0.618
chr13	100626995	100627366	0.123947597058813	0.495790388235252	49831	292144	292147	4	4	0	0	0.00238982965680117	0.622
chr6	134491163	134491531	-0.12388745067295	0.4955498026918	149233	158593	158596	4	4	0	0	0.00239384955529873	0.622
chr15	70168944	70169112	-0.147192295727714	0.441576887183141	60365	316558	316560	3	3	0	0	0.0035797196120798	0.732
chr10	48573302	48573444	-0.131896804529409	0.395690413588226	20843	223166	223168	3	3	0	0	0.00518164916335863	0.84
chr4	6010075	6010164	0.145644723058262	0.291289446116523	124808	97721	97722	2	2	0	0	0.0125842922466208	0.97
chr11	133852938	133852993	-0.145376043189287	0.290752086378575	37245	263140	263141	2	2	0	0	0.0126445907240842	0.97
chr1	9527173	9527208	-0.140147194200382	0.280294388400765	2219	5766	5767	2	2	0	0	0.01405356514748	0.976
chr3	147109426	147109490	0.131793588663839	0.263587177327679	120923	88591	88592	2	25	0	0	0.016381086377569	0.982
chr15	58782685	58782688	-0.13072300480703	0.261446009614061	59272	314322	314323	2	2	0	0	0.0166443897291593	0.982
chr10	16680712	16680750	-0.128321669629607	0.256643339259215	19329	220031	220032	2	2	0	0	0.0173679714587207	0.982
chr19	932759	932813	0.125681919922326	0.251363839844651	82614	372041	372042	2	2	0	0	0.018330737148887	0.984
chr3	16411667	16411667	-0.175557738142453	0.175557738142453	114261	74433	74433	1	1	0	0	0.0473644540475353	1
chr3	147107900	147107900	0.157091869513204	0.157091869513204	120921	88587	88587	1	1	0	0	0.0634118888498065	1
chr20	29551622	29551622	-0.147562529336722	0.147562529336722	106059	396674	396674	1	1	0	0	0.0667041857193106	1
chr3	147105190	147105190	0.142504218777238	0.142504218777238	120919	88578	88578	1	1	0	0	0.0687523240038189	1
chr5	94220272	94220272	-0.142372311218233	0.142372311218233	135934	121707	121707	1	1	0	0	0.0688226722275262	1
chr8	116506662	116506662	-0.140348150203057	0.140348150203057	168473	202665	202665	1	1	0	0	0.0700005024873122	1
chr2	5551315	5551315	-0.138513507855631	0.138513507855631	91231	42987	42987	1	1	0	0	0.0711180342696347	1
chr5	17005065	17005065	-0.13626207245647	0.13626207245647	133200	115958	115958	1	1	0	0	0.0726938344806794	1
chr13	111917916	111917916	0.135757811518433	0.135757811518433	50430	293479	293479	1	1	0	0	0.0731179337721723	1
chr7	43094396	43094396	-0.133985343656968	0.133985343656968	155519	173754	173754	1	1	0	0	0.0748042811918999	1
chr3	41162610	41162610	-0.13383092649387	0.13383092649387	115275	76516	76516	1	1	0	0	0.0749570373348073	1
chr13	100517033	100517033	0.132886513259117	0.132886513259117	49808	292073	292073	1	1	0	0	0.0759358826189639	1
chr9	15305873	15305873	-0.132496756010748	0.132496756010748	171188	208629	208629	1	3	0	0	0.0763479222149641	1
chr3	16428391	16428391	-0.132105987306421	0.132105987306421	114262	74434	74434	1	1	0	0	0.0767820712527009	1
chr2	65839377	65839377	-0.131119989672419	0.131119989672419	94993	50679	50679	1	2	0	0	0.0779639214109844	1
chr8	131162292	131162292	-0.131014187053509	0.131014187053509	169269	204053	204053	1	1	0	0	0.0780905482136576	1
chr17	60744005	60744005	0.130337327459743	0.130337327459743	77117	357687	357687	1	6	0	0	0.0790171348173459	1
chr11	126372533	126372533	-0.130033419913277	0.130033419913277	36631	261934	261934	1	1	0	0	0.0794512838550827	1
chr7	33637324	33637324	-0.12988423970964	0.12988423970964	154960	172742	172742	1	1	0	0	0.0796542887292096	1
chr6	168197177	168198163	0.0953323952430826	0.953323952430826	151417	163180	163189	10	10	2.00994924878147e-06	0.002	0.000148736244409829	0.116
chr10	1166782	1167786	0.096546121765926	0.772368974127408	18138	217320	217327	8	8	2.00994924878147e-06	0.002	0.000353751067785538	0.216
chr12	117797056	117797209	-0.122691887718105	0.368075663154316	44545	280023	280025	3	3	2.00994924878147e-06	0.002	0.00647203658107633	0.894
chr4	24801110	24801801	-0.12172226570889	0.365166797126669	125891	100008	100010	3	4	2.00994924878147e-06	0.002	0.00658660368825687	0.894
chr7	138603496	138603662	-0.120521303624202	0.361563910872606	160689	185049	185051	3	13	2.00994924878147e-06	0.002	0.00675543942515452	0.896
chr6	6900945	6901065	-0.119025135032002	0.357075405096006	141986	135117	135119	3	3	2.00994924878147e-06	0.002	0.00700266318275464	0.906
chr13	100630170	100630430	0.118463394346346	0.355390183039039	49833	292150	292152	3	4	2.00994924878147e-06	0.002	0.00707502135571077	0.908
chr12	111725167	111725516	-0.118099529293104	0.354298587879313	43986	278613	278615	3	3	2.00994924878147e-06	0.002	0.00713531983317421	0.908
chr15	86233214	86233236	-0.117770293100083	0.353310879300248	61796	319614	319616	3	3	2.00994924878147e-06	0.002	0.00719963820913522	0.912
chr17	55673870	55673927	0.122171241075937	0.244342482151874	76732	356708	356709	2	2	2.00994924878147e-06	0.002	0.0198060398974926	0.986
chr3	28888934	28889136	-0.121389423896661	0.242778847793323	114640	75218	75219	2	2	2.00994924878147e-06	0.002	0.0201356715742927	0.986
chr3	8596772	8596772	0.128085775891522	0.128085775891522	113381	72549	72549	1	1	2.00994924878147e-06	0.002	0.0823677202150646	1
chr13	94206647	94206647	-0.127998315371437	0.127998315371437	49430	291302	291302	1	1	2.00994924878147e-06	0.002	0.0825064067132305	1
chr11	55561545	55561545	0.127989385093249	0.127989385093249	30784	247691	247691	1	1	2.00994924878147e-06	0.002	0.0825144465102256	1
chr6	23014356	23014356	-0.125985686790717	0.125985686790717	143061	137131	137131	1	1	2.00994924878147e-06	0.002	0.0858027234812321	1
chr8	95222020	95222020	-0.1255851140635	0.1255851140635	167644	200867	200867	1	1	2.00994924878147e-06	0.002	0.0865001758705593	1
chr1	7829296	7829296	-0.125165371900422	0.125165371900422	1899	5182	5182	1	1	2.00994924878147e-06	0.002	0.0873222451133109	1
chr12	119769357	119769357	-0.125030982718036	0.125030982718036	44636	280243	280243	1	1	2.00994924878147e-06	0.002	0.0875714788201598	1
chr8	37822562	37822562	-0.125022086380128	0.125022086380128	165394	196020	196020	1	5	2.00994924878147e-06	0.002	0.0875855484649013	1
chr2	3800191	3800191	-0.124969011950696	0.124969011950696	91187	42909	42909	1	1	2.00994924878147e-06	0.002	0.087680016079594	1
chr12	116990469	116990469	-0.124158411614226	0.124158411614226	44451	279764	279764	1	1	2.00994924878147e-06	0.002	0.0892337068489021	1
chr4	24490174	24490174	-0.124102554899316	0.124102554899316	125858	99956	99956	1	1	2.00994924878147e-06	0.002	0.0893804331440631	1
chr3	145970385	145970385	-0.123733960094017	0.123733960094017	120887	88498	88498	1	1	2.00994924878147e-06	0.002	0.0901422039093513	1
chr8	25897201	25900020	-0.0812386247209698	1.13734074609358	164711	194590	194603	14	14	4.01989849756294e-06	0.004	6.83382744585699e-05	0.062
chr16	68269295	68270882	-0.090840076808255	0.999240844890805	68082	334869	334879	11	15	4.01989849756294e-06	0.004	0.000116577056429325	0.098
chr13	112610059	112611355	-0.0904908965143882	0.99539986165827	50538	293747	293757	11	13	4.01989849756294e-06	0.004	0.000118587005678107	0.1
chr12	106978920	106980319	-0.0905379530953042	0.905379530953042	43527	277508	277517	10	11	4.01989849756294e-06	0.004	0.000172855635395206	0.13
chr7	157366933	157367537	-0.101192529332264	0.708347705325848	162295	189027	189033	7	8	4.01989849756294e-06	0.004	0.000552736043414904	0.284
chr6	30009745	30010907	-0.100855966018731	0.705991762131116	143866	140358	140364	7	7	4.01989849756294e-06	0.004	0.00056077584041003	0.288
chr5	145713607	145714097	0.0987796067559964	0.691457247291974	138649	127680	127686	7	8	4.01989849756294e-06	0.004	0.000625094216371037	0.306
chr10	134150489	134150760	-0.0980417347116331	0.686292142981432	26438	236086	236092	7	7	4.01989849756294e-06	0.004	0.000647203658107633	0.314
chr13	100627929	100627956	0.116918440196734	0.233836880393469	49832	292148	292149	2	2	4.01989849756294e-06	0.004	0.0225757499623135	0.986
chr14	100904721	100904721	-0.123541252773784	0.123541252773784	55838	306174	306174	1	1	4.01989849756294e-06	0.004	0.0905843927440832	1
chr11	55605161	55605161	0.123339221469133	0.123339221469133	30791	247699	247699	1	1	4.01989849756294e-06	0.004	0.0910667805637908	1
