chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr16	2892518	2892518	0.17560652610496	0.17560652610496	64131	325783	325783	1	6	7.14663072094661e-06	0.016	0.0715625118537865	1
chr3	16411667	16411667	-0.162332178729367	0.162332178729367	114261	74433	74433	1	1	2.63875595850336e-05	0.056	0.0828833246565907	1
chr4	6010075	6010164	0.150235677513	0.300471355026	124808	97721	97722	2	2	3.24347086566038e-05	0.062	0.0214470387935608	1
chr11	85393693	85393895	-0.141407361671873	0.424222085015619	34123	256480	256482	3	3	3.8481857728174e-05	0.07	0.0086611666929626	1
chr6	49681178	49681774	-0.10949609509443	0.985464855849869	146330	152289	152297	9	9	5.49740824688201e-05	0.122	0.000365027907592965	0.558
chr10	51572113	51572718	-0.0995187096088777	0.995187096088777	21014	223558	223567	10	10	9.23564585476177e-05	0.208	0.000350734646151072	0.544
chr19	57742112	57742444	-0.102413412862318	0.921720715760862	90334	393044	393052	9	10	0.000113246609885769	0.226	0.000499714409641575	0.65
chr16	511188	511188	0.141653600186498	0.141653600186498	63162	322725	322725	1	1	0.000181964212971794	0.226	0.0999065990338855	1
chr3	16428391	16428391	-0.136942555190382	0.136942555190382	114262	74434	74434	1	1	0.000299608749455069	0.314	0.106003774520502	1
chr7	155165471	155166290	-0.107484730844756	0.644908385068533	161935	187935	187940	6	21	0.000227592701420915	0.364	0.00222864930328597	0.97
chr10	134150489	134150760	-0.102927570779875	0.720492995459128	26438	236086	236092	7	7	0.000236938295440615	0.39	0.00144691785057934	0.916
chr10	88702316	88702795	-0.118619617366403	0.355858852099208	22971	227441	227443	3	6	0.000369425834190471	0.414	0.0139892547658406	1
chr3	134031551	134032590	-0.101342983723215	0.709400886062508	120310	87150	87156	7	7	0.000266624299973777	0.422	0.00153927430912696	0.928
chr22	32599511	32599648	0.118145094142545	0.354435282427635	111292	409889	409891	3	3	0.000387017540580493	0.426	0.0141294386761361	1
chr2	236586191	236586744	-0.106683156389939	0.533415781949693	103862	69285	69289	5	5	0.000382619613982988	0.474	0.00429402558163954	0.996
chr17	48194635	48195107	-0.110393402619809	0.441573610479234	76270	355671	355674	4	5	0.000434844992328367	0.478	0.00767713061677072	1
chr17	78803125	78803474	-0.101092794858346	0.606556769150075	79316	363130	363135	6	6	0.00040955691439271	0.502	0.00276024868075946	0.984
chr4	4859772	4860439	-0.0571168670937098	0.742519272218227	124723	97470	97482	13	32	0.000277069375642853	0.506	0.0012721002683285	0.896
