probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.1891326398489861,0.7960006748334308,-27.994517135786786,1.3647958616384707e-71,5.654963412905921e-66,152.70549219090265,RFTN1
cg24016844,0.03605470057134573,0.06297570399234352,20.603974864678836,1.270453981631576e-51,2.6320312750956767e-46,106.71258865525415,C1orf103;C1orf103
cg02325951,0.12502304802186337,0.6726825732982993,15.191099955392005,2.645719440291002e-35,3.6541354049579174e-30,69.14366364227072,FOXN3;FOXN3
cg03608000,-0.020404391890346058,0.02966207660488977,-14.527842002615257,3.0241156051721133e-33,3.1325679510625983e-28,64.40992478153197,ZNF69
cg12611723,-0.02625787550329376,0.045753617587443514,-13.805957379845081,5.290389441881468e-31,4.3840928265927537e-26,59.252935100180885,NPDC1
cg16383222,-0.030065901882704638,0.09631302947919251,-13.334657714770595,1.5376057726631733e-29,1.0618321064568709e-24,55.88953784118389,CYHR1
cg25294185,0.10702211548635752,0.1252792487664668,12.617323565114079,2.5586739988582294e-27,1.514533968652733e-22,50.78659563062157,RNASEH2C
cg04946709,0.07831617694151871,0.8223090397005157,12.546531780657027,4.232488481533744e-27,2.192138049851374e-22,50.28458720275749,LOC644649
cg07852945,-0.05918625458297242,0.0742657590141605,-12.11345637270351,9.129590495128281e-26,4.203111304115475e-21,47.22186063936935,TLE1
cg25568337,-0.057134476541152945,0.12358127256585881,-11.319385651112752,2.435333945462016e-23,9.17334948756781e-19,41.654664872747084,ARID1B;ARID1B;ARID1B
cg17238319,-0.12882500573227007,0.7810786493300285,-11.070666556968128,1.3794995554065218e-22,4.763239527374294e-18,39.92743833945731,RFTN1
cg01225095,-0.024009705424956763,0.06315771388540792,-10.664196961565668,2.3013992202634723e-21,6.811237570857631e-17,37.12564264564246,YARS2
cg25304146,0.07674025050864719,0.6290247672017844,10.511401061251286,6.5823784974405904e-21,1.8182504123480143e-16,36.07988869968901,WBP11P1
cg06759085,0.16215462213531961,0.7746782650778984,10.063637066390717,1.3958898970692504e-19,3.5148067498474294e-15,33.041939487650346,"NAB1"
cg16169375,-0.014383129446488594,0.03484409430639319,-10.058832765639387,1.4420764036589388e-19,3.5148067498474294e-15,33.0095744344319,C6orf108;C6orf108
cg08034535,-0.016822321965111603,0.039058789934431085,-9.90946739338947,3.9575802051035507e-19,9.110019833797948e-15,32.005960143203346,RAB33B
cg22345911,-0.014979879055903537,0.024401024208814855,-9.805819182651085,7.950768649319193e-19,1.7338743347379795e-14,31.312588389584434,CSNK1D;CSNK1D;CSNK1D;CSNK1D
cg25908635,-0.010126030664666962,0.039777659691012913,-9.74459739888646,1.1991283926983791e-18,2.4842642693630496e-14,30.904253179613825,TMEM51;TMEM51;TMEM51;TMEM51;C1orf126
cg22266749,0.08955818101709753,0.08152287720787954,9.699156931528336,1.625823985240144e-18,3.2078668531634645e-14,30.601773617517722,COL25A1;COL25A1
cg25918716,-0.015514232370344966,0.07447006187582549,-9.537941762587618,4.768428960974791e-18,8.980794081068635e-14,29.53285227125682,ZSWIM5
cg12052203,0.09128081177149784,0.070310923323594815,9.50557135341469,5.913813366376956e-18,1.0653734779528087e-13,29.319037823916368,B3GNT1;B3GNT1
cg07816873,-0.039613691935087555,0.08728870659638831,-9.488240306118003,6.6355331625218994e-18,1.1455833284271402e-13,29.204676368730638,ERC1;ERC1;ERC1;ERC1;ERC1;ERC1;ERC1
cg26213873,-0.013634240906224872,0.04624995388142118,-9.462595309491439,7.867062782817003e-18,1.2746736412621495e-13,29.03560149926284,CTTNBP2NL
cg02758552,-0.08780964696163257,0.24031280323467155,-9.4247542532336,1.0110614067671723e-17,1.5515860688405332e-13,28.786443127848685,GPX1;GPX1;GPX1;GPX1
cg03687700,-0.12615211078980085,0.11841217698157952,-9.053812624258345,1.1589819956048013e-16,1.5490915966737787e-12,26.365371494335882,FKBP1B;FKBP1B
cg01906879,-0.018493845955587652,0.048757982368682964,-8.474585972258131,4.81851150774651e-15,6.050079244476447e-11,22.66987080842648,GBE1
cg03613132,-0.010984660042763952,0.04953116668814778,-8.369173850065353,9.385129214714269e-15,1.1437298130796422e-10,22.009577457540487,EIF4EBP1
cg17743279,-0.005092553089676273,0.015244662608707887,-8.168193530504034,3.309670915632633e-14,3.9181302729651523e-10,20.76190805696418,CDK6;CDK6
cg12900929,-0.033834408686032574,0.05913130900610768,-8.031164015442215,7.75037836707002e-14,8.920362568065632e-10,19.920018809799963,PRDM4;PRDM4
cg17612569,0.01510368071889166,0.03866952898062738,7.954199191078516,1.2460636634546465e-13,1.3954060773895013e-9,19.45038514939626,GABPA;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J
cg15364537,-0.008572077952584398,0.03693627281679889,-7.942911320739082,1.3356791562576297e-13,1.4563999473672833e-9,19.381706069440362,MFSD4
cg06752594,-0.015318445834641495,0.04813092747431145,-7.791423006838175,3.376048982905757e-13,3.497122539555215e-9,18.465012140826765,PSRC1;PSRC1;PSRC1;PSRC1
cg10047026,-0.049242367265014395,0.09987503473265961,-7.524784381824183,1.688517970815389e-12,1.6657832824226246e-8,16.874925501773376,ARRB2;ARRB2;ARRB2;ARRB2
cg16398944,-0.005539885817197415,0.02853173472500962,-7.445620980670098,2.7076178254460883e-12,2.549745245191953e-8,16.408804184426565,PRIM2
cg01884321,-0.006263631436748813,0.03301779269785065,-7.332483751405967,5.2923393414007984e-12,4.873009654250475e-8,15.747544563653465,LOC285550;LOC285550
cg01293379,-0.024360786715050486,0.06875682588628257,-7.316954156192613,5.799759311306781e-12,5.224133199659583e-8,15.657234886701522,RAB12
cg00243574,0.043189618511540184,0.0803581101669519,7.24218634809934,8.999057133798832e-12,7.933434740646546e-8,15.224002316970077,HOXC4;HOXC5;HOXC4;HOXC6;HOXC6
cg22921760,-0.05942754984738477,0.13896472295969642,-7.144814548562529,1.5886504610497392e-11,1.3713528651742796e-7,14.663735109736978,SALL2
cg13192180,0.1066641785395398,0.716500830736274,7.116964829763555,1.8675865832532728e-11,1.5792350262001578e-7,14.504322245545696,NOL11
cg13916990,-0.03391836235737794,0.19630331403199733,-7.01652675067567,3.336930227597351e-11,2.7652807103076486e-7,13.932531187694023,UBAP2
cg07457944,-0.012576830283442163,0.0476226240946826,-6.872513889432167,7.606257538578793e-11,6.060797653504673e-7,13.121355025811129,SOCS6
cg24474701,-0.0039626538767126435,0.012764672766714124,-6.857525758700317,8.282540170509822e-11,6.475149258396022e-7,13.037530148002306,"NARS;NARS"
cg15373239,-0.013537800130838738,0.062453769057062826,-6.764802989844776,1.3994524282954433e-10,1.0738076229668065e-6,12.521504054119822,EMX2OS;EMX2;EMX2
cg12247968,-0.028655787409280598,0.21018539755374216,-6.7582832671269015,1.451798597834297e-10,1.0937190727630032e-6,12.485386514067295,DACH1;DACH1;DACH1
cg17223846,-0.10326363163907887,0.19653431620850106,-6.701200995741078,2.0005412007660325e-10,1.4737362474959705e-6,12.170109037090233,C19orf77
cg09388215,-0.054146707052316195,0.18728771321742116,-6.698823146767754,2.0273676792834552e-10,1.4737362474959705e-6,12.157012563088665,CCDC46
cg23801021,-0.0026014606124085456,0.015149410874768142,-6.6736742932526525,2.333680530927255e-10,1.6671532061845752e-6,12.018681881712935,PDE2A;PDE2A;PDE2A;PDE2A;PDE2A
cg06329022,-0.009180123017562526,0.03765687018181059,-6.662878151514322,2.478748920321924e-10,1.7407749515098097e-6,11.959400012790395,SPAG5
cg09067967,-0.0274906595503771,0.030306942295389758,-6.659621118449761,2.5242304986452134e-10,1.7431704766019183e-6,11.941527635067105,UGDH
cg11065518,-0.007771787910990743,0.029409842826295864,-6.611987614480676,3.291150076624059e-10,2.2355271778668783e-6,11.680789067103065,MDH1B;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2;FASTKD2
cg17871437,-0.002283378588869161,0.012626529996755993,-6.6038796826303425,3.442784907963282e-10,2.3008076011129773e-6,11.63652755737145,BRD2;BRD2
cg03605372,-0.006481800155720779,0.04411132887964164,-6.583646586810594,3.851796848089678e-10,2.5332901032090754e-6,11.526227405697226,PRKCSH;PRKCSH;PRKCSH;CCDC151;PRKCSH
cg06644124,-0.06763064173537378,0.27061602641586646,-6.56906247066804,4.1758879440766094e-10,2.7035285784194106e-6,11.446858441626338,ZNF281;ZNF281
cg03691818,-0.0470130994907742,0.04430172813010722,-6.564391155215745,4.285255980701158e-10,2.731652906651725e-6,11.421460576640895,KRT77
cg25438440,-0.005454167114101929,0.027830088057203942,-6.55259643028596,4.574091464188477e-10,2.8715938298926886e-6,11.357385075537037,CLDND1;CLDND1;CLDND1;CLDND1;CLDND1;CLDND1
cg04190002,-0.03682736332551678,0.297891252349494,-6.484620714525142,6.652105994846613e-10,4.113831131992119e-6,10.989569071351143,SHANK3
cg03934782,-0.050688651641080607,0.24554651208224487,-6.449424875444814,8.068030193425171e-10,4.91609995660993e-6,10.800113416073495,VAT1L
cg22149355,-0.0714043813587647,0.17935723680800067,-6.427826791903296,9.079408726435714e-10,5.409573877113213e-6,10.684189705567514,MYO5A;MYO5A;MYO5A;MYO5A
cg04337007,-0.01603891771266304,0.06757731240640842,-6.419104810735184,9.522257868986193e-10,5.557042164401527e-6,10.637448949782252,OTOP3
cg01065780,-0.010573230268978905,0.03210015975955171,-6.394478371007404,1.0890366110164416e-9,6.267178813772326e-6,10.50570386300643,MB
cg14514226,-0.006237538913850052,0.04162998163787656,-6.237676739263687,2.5408253718809356e-9,1.4226733631243327e-5,9.674812543037403,TMCC2
cg01882150,-0.012883830549909311,0.08098354285045037,-6.215007876686872,2.8687347827459804e-9,1.5848612180758446e-5,9.555842402137008,MACROD1
