probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg24016844,0.03498615698783506,0.06861389334787024,24.525594490366704,5.630020187483076e-72,2.332770714582675e-66,153.1321878634217,C1orf103;C1orf103
cg17238319,-0.13650091468570225,0.8010653892384485,-19.63813329091754,9.317002994228133e-55,1.930226802821728e-49,113.46816678220323,RFTN1
cg25294185,0.1258823635458999,0.14012846162585937,19.282382178096523,1.8110482294448057e-53,2.5013292620976934e-48,110.50089194980305,RNASEH2C
cg00243574,0.03761294124979376,0.07207827435344304,14.985176430184426,9.111003395667879e-38,9.437746754945018e-33,74.37088176373392,HOXC4;HOXC5;HOXC4;HOXC6;HOXC6
cg11643285,-0.16259079191869685,0.7775977378306539,-14.626704109736604,1.8357300619455275e-36,1.521251145033639e-31,71.37267922293388,RFTN1
cg12204423,0.013661391640652394,0.044554279793729105,11.816555313441366,1.865567965687285e-26,1.1042696553467114e-21,48.39412379439127,PHF17;PHF17
cg22266749,0.08489002373515296,0.0881512204942892,10.11315792081705,1.0062475471031106e-20,5.211670498805479e-16,35.26382983953983,COL25A1;COL25A1
cg12052203,0.08687337580073741,0.07648896864801953,9.704787507375853,2.0893159459673583e-19,9.618862395909391e-15,32.251398713096364,B3GNT1;B3GNT1
cg12451679,0.016861182424947302,0.054480437964608164,9.048045148544485,2.4112126466067937e-17,9.99073904058292e-13,27.540692733113296,ZC3H4
cg24004478,0.0056929154627873915,0.028465525414250462,7.746248505652103,1.7023533451216322e-13,5.861499398335468e-9,18.772120680468646,UNC84A;UNC84A
cg17612569,0.018661380072935007,0.04176980123721103,7.734348240994428,1.8390349148260767e-13,5.861499398335468e-9,18.695880021415107,GABPA;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J;ATP5J
cg24016624,0.007978950971511786,0.04208173436463684,7.452404989175461,1.121358529425757e-12,3.3187807133922514e-8,16.912207251011722,RELB
cg03687700,-0.03308309019617631,0.059832624401903095,-7.4003018388484,1.558878370563687e-12,4.3060897230080725e-8,16.587426196080216,FKBP1B;FKBP1B
cg12198769,0.032999609713977474,0.17144862215402934,7.262791437402493,3.692185606891709e-12,9.561491533047158e-8,15.737696447289297,COX5B
cg02859026,0.14014302434664183,0.5675749681147723,6.867595568055896,4.145998885089281e-11,1.0105140635543047e-6,13.357408859328045,RAB11FIP3
cg04190002,-0.034916112836269,0.3096686306674258,-6.4095250186582575,6.092337704980247e-10,1.402405370205578e-5,10.718732932573792,SHANK3
cg07852945,-0.012108757899050505,0.05229137673805239,-6.37540975871517,7.403904899281393e-10,1.6146163028909204e-5,10.527598982565548,TLE1
cg23120345,-0.021324762115058515,0.8899882735721721,-6.211142627849347,1.8736911365792335e-9,3.8817727699296124e-5,9.618034732945139,LOC285456
cg12611723,-0.009250619950567467,0.03654299609261632,-5.986489267156548,6.4852435946821e-9,1.279584884399312e-4,8.403479135551004,NPDC1
cg12614687,-0.00643902160348029,0.03368529291288243,-5.853753326044852,1.3296594219444971e-8,2.5042624235708757e-4,7.702163384785328,OTP
cg02325951,0.04432877998037921,0.7279869851147719,5.834370442656143,1.4751806924474516e-8,2.657538017444084e-4,7.600782145707056,FOXN3;FOXN3
cg04946709,0.01997603017392835,0.8549595382910209,5.490289211840486,8.933769211325074e-8,0.0015423594182777031,5.845602683352308,LOC644649
cg07645761,0.17879241983926453,0.6610135833697589,5.332806180446599,1.9821042166173945e-7,0.003158749890901286,5.070966401380106,TMPRSS8
cg22345911,-0.0037084354037093432,0.01761918804729541,-5.1990005383153175,3.847467210393666e-7,0.005904365930705791,4.427297562731898,CSNK1D;CSNK1D;CSNK1D;CSNK1D
cg26921482,-0.0433032105315746,0.13772095427758735,-5.1757438257458785,4.311926980044515e-7,0.006348849859606728,4.316796505407092,AMDHD2;AMDHD2
cg09639931,-0.14873392550247758,0.2956197062582708,-5.110221741081641,5.932077627610574e-7,0.00792879582133001,4.007684322036178,ZPBP2;ZPBP2
cg23127064,0.02387188432516249,0.10182429072114332,5.087585489278809,6.618400229215236e-7,0.008569690759294335,3.9016538698685697,TSPAN4;TSPAN4;TSPAN4;TSPAN4;POLR2L;TSPAN4;TSPAN4
cg23645261,-0.08091529124040989,0.25728231210155145,-5.03867102102809,8.374163570368894e-7,0.010514523650195453,3.673873223806165,ZNF536
cg01083584,0.023305267187202314,0.07794107555395434,4.824335268104844,2.2998943390775007e-6,0.028027932938972558,2.6975852472370825,DNAJB1;DNAJB1
