chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr2	63281139	63287288	-0.122842466887253	3.9309589403921	81003	44342	44373	32	40	1.40376292690185e-06	0.022	3.44559991148637e-06	0.054
chr12	54396990	54396990	-0.253018958210999	0.253018958210999	34421	234224	234224	1	1	3.44559991148637e-06	0.03	0.0356204842701345	1
chr7	96636616	96637152	-0.202775920304565	0.608327760913695	131816	153786	153788	3	8	1.36547848344089e-05	0.112	0.00390641699594478	1
chr2	172952883	172953630	-0.162622495953558	1.30097996762846	85330	53819	53826	8	8	1.86317624843337e-05	0.166	0.000310359221656846	0.926
chr8	72469430	72471153	-0.148447631382873	1.48447631382873	139139	171290	171299	10	12	1.87593772958702e-05	0.192	0.00018950799513175	0.838
chr12	114836014	114839476	-0.123901735857483	1.85852603786225	36967	240498	240512	15	15	1.76108439920414e-05	0.22	8.09077905141613e-05	0.618
chr10	50605613	50605707	-0.193826088716201	0.387652177432402	17800	192300	192301	2	3	3.93053619532519e-05	0.27	0.0132188526382001	1
chr2	48982509	48982957	0.164229719215675	0.821148596078375	80619	43429	43433	5	6	4.44099544147132e-05	0.31	0.00155524170819572	1
chr7	27283409	27283545	-0.179593143170528	0.538779429511585	129051	147603	147605	3	4	5.34706060338069e-05	0.332	0.00553120877642791	1
chr9	129380728	129380728	-0.207986187988394	0.207986187988394	145017	183223	183223	1	1	6.41902502028757e-05	0.342	0.0533281879041322	1
chr1	243053673	243053673	0.205131608522716	0.205131608522716	14862	35799	35799	1	1	7.46546647488713e-05	0.374	0.0548446347096208	1
chr7	27285433	27286234	-0.15931748542611	0.79658742713055	129053	147609	147613	5	7	6.04894206683162e-05	0.376	0.00171424976337024	1
chr3	157821919	157822072	-0.164923836293438	0.659695345173754	103099	77558	77561	4	4	7.24852129527502e-05	0.404	0.00307730356539194	1
chr19	13875014	13875111	0.182980477340367	0.365960954680735	72666	330235	330236	2	12	7.91211831526499e-05	0.406	0.0152434616232272	1
chr14	61122051	61122155	-0.181873562332239	0.363747124664478	44103	258750	258751	2	2	8.42257756141112e-05	0.424	0.0154692122248353	1
chr4	41880280	41880987	-0.145643395061227	1.01950376542859	107197	87477	87483	7	28	7.13366796489214e-05	0.46	0.000754331150992441	0.99
chr19	289902	289902	-0.197862937548585	0.197862937548585	69819	322701	322701	1	1	0.000117788471048219	0.464	0.0590266996984845	1
chr19	51170356	51172144	0.133517462442993	1.20165716198694	76423	340387	340395	9	9	7.1464294460458e-05	0.466	0.000411174922770706	0.966
chr20	22562478	22562478	-0.197155981369477	0.197155981369477	89955	345673	345673	1	1	0.000121999759828925	0.47	0.0594533160134511	1
chr15	76638473	76638473	-0.195606735021152	0.195606735021152	50709	274142	274142	1	2	0.000137058307590235	0.502	0.0603943476337215	1
chr12	123380878	123381003	0.158779649174754	0.635118596699014	37675	242409	242412	4	10	0.000106175523198395	0.51	0.00344075054864798	1
chr3	157820591	157820591	-0.192674743078985	0.192674743078985	103097	77555	77555	1	1	0.000163857418012907	0.53	0.0622344256012668	1
chr2	71115370	71116638	-0.139026016417631	0.973182114923416	81450	45346	45352	7	13	0.00010706882687915	0.55	0.0008883267031058	0.998
chr12	54440773	54441509	-0.144294449516695	0.865766697100173	34437	234320	234325	6	6	0.000108600204617589	0.56	0.00131468778844935	1
chr7	25897590	25899194	0.110132892886857	1.43172760752914	128914	146942	146954	13	22	7.83554942834307e-05	0.59	0.000217710868481324	0.868
chr2	45028604	45029543	-0.141860280881969	0.851161685291813	80292	42775	42780	6	16	0.000127870041159605	0.598	0.00138998052725591	1
chr20	30618874	30619244	0.14658616617156	0.732930830857798	90202	346343	346347	5	5	0.000135654544663334	0.616	0.00223453535000468	1
chr12	54388841	54389934	-0.140167543903969	0.841005263423813	34417	234192	234197	6	12	0.000144715196282427	0.626	0.00144804526650503	1
chr4	111541965	111542473	-0.145518030792555	0.727590153962776	108708	91327	91331	5	8	0.000143949507413208	0.634	0.00228379466725778	1
chr15	53096763	53097840	-0.12305479067363	1.10749311606267	49044	270450	270458	9	11	0.000131698485505701	0.678	0.00056265370406457	0.982
chr22	32599511	32599648	0.157759479621979	0.473278438865936	94908	358225	358227	3	3	0.000211074898281424	0.682	0.00787026065708101	1
chr3	13323567	13324132	0.135712377486262	0.814274264917575	97320	64328	64333	6	6	0.000186828084089483	0.71	0.00160143826997194	1
chr21	38082613	38083149	-0.154951007278659	0.464853021835976	92790	353221	353223	3	3	0.000246807045511653	0.722	0.00825655069160209	1
chr10	102899262	102899285	-0.164040008904805	0.32808001780961	20234	197994	197995	2	2	0.000250763104669286	0.728	0.0198036492986737	1
chr2	45156642	45157613	-0.147144620709071	0.588578482836284	80297	42798	42801	4	10	0.000216434720365958	0.73	0.0043061065856772	1
chr19	41129881	41130041	0.146924959674505	0.587699838698022	74837	336182	336185	4	5	0.000220007935088981	0.734	0.00432448311853846	1
chr21	38077597	38079615	-0.124212285705783	0.993698285646267	92787	353208	353215	8	14	0.000178660736151145	0.75	0.000827837282437484	0.996
chr22	21311401	21311670	0.152280387412762	0.456841162238285	94182	356374	356376	3	5	0.000290451311057147	0.76	0.00865151853330766	1
