chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr1	3566950	3568245	-0.262019896321135	5.76443771906496	1234	3633	3654	22	42	4.80006363512933e-07	0.014	1.92002545405173e-06	0.05
chr6	30094960	30095802	-0.219803928033788	6.15450998494607	143899	140664	140691	28	29	6.17151038802343e-07	0.018	1.30287441524939e-06	0.038
chr4	151500931	151501739	0.289381126918328	1.73628676150997	130049	108733	108738	6	6	3.01718285636701e-06	0.076	0.000510863915453051	0.998
chr6	28853021	28853050	0.309799286337232	0.619598572674464	143664	139180	139181	2	2	5.6915040245105e-06	0.108	0.0106898788601083	1
chr4	151502935	151504187	0.243117814531271	2.18806033078144	130050	108739	108747	9	9	9.87441662083749e-06	0.188	0.000228963035395669	0.972
chr6	28848900	28849220	-0.291567650299706	0.583135300599413	143663	139178	139179	2	2	1.35773228536515e-05	0.214	0.0123514551735772	1
chr3	134369339	134370046	0.216258439033728	2.16258439033728	120358	87258	87267	10	13	2.0434556618122e-05	0.338	0.000238426017990639	0.978
chr17	43037114	43037427	-0.26097066508096	0.782911995242881	75562	353728	353730	3	3	3.66862006399171e-05	0.416	0.00589132381640717	1
chr11	113184936	113185879	0.197018225857201	2.36421871028641	35266	258920	258931	12	12	2.45488968768043e-05	0.422	0.00017184227813763	0.952
chr4	151504725	151505467	0.241639324097815	0.96655729639126	130051	108748	108751	4	4	5.02635234935686e-05	0.516	0.00328454640084371	1
chr18	55094774	55095555	0.232807524769293	1.16403762384646	81458	369387	369391	5	5	4.95778001171216e-05	0.528	0.00187387627081685	1
chr3	13323567	13324132	0.221136685494511	1.32682011296707	113917	73769	73774	6	6	5.93150720626696e-05	0.59	0.00124911370253594	1
chr6	3848898	3849801	0.0802702386392687	2.08702620462099	141771	134644	134669	26	35	3.38747347964842e-05	0.618	0.000271957891098899	0.984
chr16	87739377	87739453	-0.228637309945653	0.914549239782613	69949	339086	339089	4	4	8.76354475099327e-05	0.642	0.00384389095901157	1
chr4	6010075	6010164	0.245708281926139	0.491416563852277	124808	97721	97722	2	2	0.000104915676596398	0.642	0.0181993041279176	1
chr14	102026086	102026555	0.177300467209238	1.95030513930162	56044	306804	306814	11	21	7.09723694622694e-05	0.716	0.000346221732768114	0.998
chr6	146919854	146920295	0.183323935751791	1.83323935751791	149890	159931	159940	10	11	7.50867097209517e-05	0.716	0.000428097103915892	0.998
chr17	40835849	40836125	-0.219747814987267	0.878991259949067	75175	352597	352600	4	4	0.00013001315217436	0.752	0.00429571409175253	1
chr11	59481031	59481031	-0.257266212635022	0.257266212635022	31109	248398	248398	1	1	0.000241854634872874	0.758	0.0635416652380763	1
chr2	48982509	48983178	0.204750876238655	1.22850525743193	94249	49111	49116	6	6	0.000116915835684222	0.768	0.0015825124081645	1
chr12	59307521	59307521	0.255339653593389	0.255339653593389	41577	273630	273630	1	1	0.000263729210581535	0.78	0.0643794820594193	1
chr2	63282702	63284784	-0.149923067254477	2.09892294156267	94789	50279	50292	14	41	7.37838353057023e-05	0.784	0.000266266387074389	0.98
chr16	87738623	87738833	-0.22487439683292	0.674623190498761	69948	339083	339085	3	3	0.000168070799567171	0.79	0.00867481214608102	1
chr17	79251255	79251354	-0.224860706942907	0.674582120828721	79519	363779	363781	3	3	0.000168139371904816	0.79	0.00867638930984685	1
chr7	27260102	27260466	-0.208487373633835	1.04243686816917	154486	171776	171780	5	6	0.000141533304898671	0.796	0.00263441206763427	1
chr3	147108512	147108916	0.221563074462525	0.664689223387574	120922	88588	88590	3	3	0.000194334004885093	0.814	0.00900553653054143	1
chr4	151508942	151508942	0.247789738923497	0.247789738923497	130052	108752	108752	1	1	0.000367822019126196	0.838	0.0677705213006252	1
chr15	60286384	60286540	-0.218290483575037	0.65487145072511	59370	314533	314535	3	3	0.000224094399422895	0.844	0.00934778106772616	1
chr6	137814356	137815725	-0.169492902138115	1.69492902138115	149444	159005	159014	10	14	0.000124870226851007	0.846	0.000555504507259753	0.998
chr6	101846409	101847656	-0.134167664279801	2.14668262847681	147823	155638	155653	16	16	8.40696859524081e-05	0.852	0.000245077534742175	0.978
chr19	14089284	14089711	-0.216754800754669	0.650264402264007	85384	379539	379541	3	3	0.000239043169029441	0.856	0.00951132609300878	1
chr16	55542921	55543166	-0.199951051927457	0.999755259637283	67232	332782	332786	5	9	0.000198859779169644	0.87	0.00298022236637651	1
chr12	132853954	132855381	-0.172482615924485	1.55234354332036	46215	284204	284212	9	9	0.000159293540348649	0.888	0.000753335701364727	1
chr6	74024344	74025019	-0.204295548144011	0.817182192576044	146982	153566	153569	4	4	0.000249397592013791	0.888	0.00524249235761297	1
chr6	28984254	28985069	0.0917739228412765	2.01902630250808	143701	139490	139511	22	25	8.50982710170786e-05	0.89	0.000306586921609475	0.994
chr16	710674	711235	0.202862748284005	0.811450993136022	63259	323010	323013	4	11	0.00026468922330856	0.896	0.00534658516615763	1
chr4	151513084	151513084	0.240735830077025	0.240735830077025	130053	108753	108753	1	1	0.00050414382636387	0.896	0.071193240961823	1
chr6	137816475	137818327	-0.156244406865141	1.71868847551656	149445	159015	159025	11	11	0.000151339149181863	0.902	0.000529309874279476	0.998
chr7	94284865	94285520	-0.108051042020919	1.94491875637654	157899	178724	178741	18	90	0.000109852884906817	0.906	0.000350198928351507	0.998
chr6	30711073	30712060	0.077483730866146	1.78212580992136	144044	142176	142198	23	75	8.18753711477775e-05	0.91	0.00046917193416507	0.998
chr20	6032689	6032782	0.215965054498775	0.43193010899755	105532	395205	395206	2	5	0.000376804995357653	0.916	0.0238984196819066	1
chr2	136874580	136877278	-0.0852189212708074	1.87481626795776	98916	59056	59077	22	23	9.44241089367585e-05	0.918	0.000397445268988709	0.998
chr15	87667131	87667552	-0.192925916168651	0.964629580843253	61848	319705	319709	5	5	0.000264620650970916	0.92	0.00330319807668307	1
chr5	87345279	87345279	-0.234583538805802	0.234583538805802	135686	121120	121120	1	1	0.000662477353985493	0.922	0.0743860375748981	1
chr3	62355884	62357176	-0.178151801559914	1.2470626109194	117198	81154	81160	7	16	0.00023931745838002	0.93	0.00150872857285879	1
chr1	10764512	10764896	-0.203002117267899	0.609006351803697	2440	6294	6296	3	4	0.000421445587164356	0.932	0.0111454048990821	1
chr7	85930749	85930749	0.230162056145707	0.230162056145707	157546	177865	177865	1	1	0.000806547835377018	0.934	0.0767681720123375	1
chr6	10419016	10421670	-0.100440257379459	1.90836489020971	142200	135579	135597	19	25	0.000114241514516078	0.936	0.000375227831591825	0.998
chr7	56515510	56516243	0.162925180598989	1.4663266253909	156381	175599	175607	9	12	0.00022649443124046	0.94	0.00090350912080663	1
chr1	165910821	165910942	0.207514717443451	0.415029434886902	12631	30333	30334	2	5	0.000537469982459196	0.944	0.0259541497921572	1
chr2	133343274	133343657	0.175979294824075	1.05587576894445	98704	58695	58700	6	9	0.000361993370426396	0.946	0.00253251357389424	1
chr19	7926970	7927554	0.19268716892276	0.770748675691039	84401	376609	376612	4	10	0.000395730960547591	0.95	0.00614682434647134	1
chr16	54966471	54967714	-0.185007558026734	0.925037790133669	67193	332661	332665	5	5	0.000362199087439331	0.952	0.00372080361293933	1
chr8	145895530	145895604	-0.20673727046399	0.413474540927981	170817	207893	207894	2	2	0.000554955928558596	0.952	0.0261523924202881	1
chr19	51830960	51831274	0.203825606300622	0.407651212601244	89474	390741	390742	2	6	0.000625242574644418	0.958	0.0269208826082723	1
chr19	54974900	54975017	0.18839433148402	0.753577325936081	89906	391897	391900	4	4	0.000466017606633414	0.964	0.00652404077585486	1
chr1	66998484	66999929	-0.140976035963263	1.55073639559589	8218	19586	19596	11	11	0.000253237642921895	0.968	0.000755461443831713	1
chr10	21797112	21799395	0.12117787797267	1.69649029161738	19516	220412	220425	14	14	0.000190082519951122	0.97	0.000554270205182149	0.998
