chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr3	16411667	16411667	-0.189132639848988	0.189132639848988	114261	74433	74433	1	1	9.740250253003e-07	0.006	0.059802539153371	1
chr4	6010075	6010164	0.15406422734969	0.30812845469938	124808	97721	97722	2	2	1.13636252951702e-05	0.056	0.0207025772377494	1
chr2	191555076	191555076	0.162154622135318	0.162154622135318	101134	63597	63597	1	1	2.04545255313063e-05	0.108	0.0807294668219479	1
chr8	1321333	1321727	0.141427267411789	0.424281802235368	163083	191048	191050	3	4	2.95454257674424e-05	0.13	0.00928343251613716	1
chr6	100050480	100051480	-0.107319837771148	1.07319837771148	147762	155411	155420	10	12	5.32467013830831e-05	0.214	0.000484415112582683	0.806
chr6	99275305	99275391	-0.131886007201155	0.395658021603465	147703	155220	155222	3	11	7.30518768975225e-05	0.252	0.0111493397896041	1
chr6	100052633	100054118	-0.109572195964871	0.876577567718966	147763	155423	155430	8	24	8.05194020914915e-05	0.302	0.000987661375654504	0.946
chr2	63281069	63285365	-0.0725354587196638	1.66831555055227	94789	50272	50294	23	41	6.85064267794544e-05	0.324	0.000115908978010736	0.42
chr6	32729442	32729720	-0.105232657087374	0.841861256698989	144522	146268	146275	8	29	0.000120454428128804	0.382	0.00113895992958448	0.966
chr6	49681178	49681774	-0.0996958463823872	0.897262617441484	146330	152289	152297	9	9	0.000155519329039615	0.42	0.000908440673596746	0.936
chr5	179740743	179741120	-0.118057223809488	0.472228895237953	141153	133129	133132	4	4	0.000175324504554054	0.442	0.00687759070364542	1
chr19	2251588	2253854	-0.0838744068485215	1.09036728903078	83145	373445	373457	13	13	0.000179545279663689	0.494	0.000459090461924875	0.794
chr13	36553414	36553414	-0.139285876696935	0.139285876696935	47667	287707	287707	1	1	0.000245778981384109	0.496	0.100438213858883	1
chr4	650632	651113	-0.126397415126649	0.252794830253299	123716	94604	94605	2	2	0.000226298480878103	0.508	0.0325778903462107	1
chr7	157281167	157281332	-0.118831894857409	0.356495684572227	162267	188911	188913	3	3	0.000284415307387688	0.542	0.0144717391509034	1
chr3	138152837	138152902	-0.122671092315675	0.245342184631349	120540	87671	87672	2	15	0.000331817858618969	0.572	0.0348856803061555	1
chr15	74421523	74422330	0.0739206073942769	1.10880911091415	60776	317305	317319	15	29	0.000204545255313063	0.584	0.000426298286073098	0.768
chr1	34642184	34643106	-0.0840838288673595	1.00900594640831	5509	13265	13276	12	14	0.000248051706443143	0.6	0.000596103315483784	0.86
chr4	644572	645551	-0.103024320183651	0.618145921101908	123713	94578	94583	6	18	0.000323051633391266	0.602	0.00309610088042122	1
chr6	157041096	157041162	-0.121292933170807	0.242585866341613	150463	161107	161108	2	4	0.000381493134909284	0.604	0.0357847054045077	1
chr1	220564510	220564510	-0.134053079060729	0.134053079060729	15749	36868	36868	1	1	0.000404545060508058	0.61	0.108163531009548	1
chr1	40149432	40149837	-0.115201603442982	0.345604810328946	6073	14647	14649	3	4	0.000416233360811662	0.638	0.0156460886564072	1
chr12	54070527	54071672	-0.0821915418887975	0.98629850266557	40895	271475	271486	12	23	0.000288960757505756	0.642	0.0006477266418247	0.882
chr2	201542610	201542610	-0.132565650176876	0.132565650176876	101501	64368	64368	1	1	0.000465908637101977	0.648	0.11067294414973	1
chr6	27106988	27107756	0.0972197196488131	0.680538037541692	143373	138042	138048	7	8	0.000393181435212888	0.672	0.00228473803434607	0.996
chr11	93277161	93277191	-0.113708746604958	0.341126239814874	34400	257013	257015	3	8	0.000480843687489915	0.678	0.0161834257953645	1
chr19	38684237	38684328	0.113512007903896	0.340536023711687	87233	384683	384685	3	3	0.000490583937742918	0.684	0.0162538802721945	1
chr1	91184770	91185922	-0.0900344323524394	0.810309891171955	9078	21428	21436	9	26	0.00038863598509482	0.702	0.00129610263366627	0.976
chr14	94254131	94254351	-0.117675739915962	0.235351479831924	55231	304887	304888	2	6	0.000558116339497072	0.708	0.0383259366955162	1
chr4	169402197	169402298	-0.117246790933898	0.234493581867796	130622	110005	110006	2	10	0.000582791640138013	0.718	0.0386210662781822	1
chr17	45949677	45949878	-0.101792763034663	0.508963815173313	75895	354505	354509	5	5	0.000586363065230781	0.726	0.00555713744434664	1
chr5	67483833	67484212	-0.106503563089158	0.426014252356631	134778	119185	119188	4	6	0.000569804639800675	0.73	0.00917823781340473	1
chr17	29297391	29297478	-0.101417018410138	0.507085092050691	73814	349124	349128	5	17	0.000612986415922322	0.74	0.0056197997209743	1
chr3	16428391	16428391	-0.128825005732272	0.128825005732272	114262	74434	74434	1	1	0.000692856467996947	0.74	0.11772163858282	1
chr10	124638756	124639215	-0.0780642212233251	0.936770654679901	25464	233522	233533	12	18	0.000389934685128553	0.744	0.000784739495383608	0.922
chr1	182557982	182557982	-0.128685661520494	0.128685661520494	13544	32313	32313	1	1	0.000703895418283683	0.744	0.11800345649014	1
chr11	84028562	84028582	-0.115463471058702	0.230926942117404	34092	256406	256407	2	3	0.000695453868064414	0.76	0.0399262598120846	1
chr15	89312795	89313222	-0.0940123439325767	0.658086407528037	61929	319878	319884	7	7	0.0005399345390248	0.764	0.00253473779083981	0.998
chr7	105172168	105172168	-0.128096137154061	0.128096137154061	158913	181523	181523	1	9	0.000739934344219795	0.764	0.11918689689588	1
chr6	157521999	157521999	0.127924228399248	0.127924228399248	150527	161195	161195	1	3	0.000752271994540265	0.766	0.119556701730485	1
chr15	39742079	39742079	-0.127655891018903	0.127655891018903	58047	311344	311344	1	1	0.000773375870088438	0.77	0.120114168719966	1
chr10	80008319	80008319	-0.126862910507104	0.126862910507104	22478	226573	226573	1	3	0.000833440746648623	0.776	0.121809621614005	1
chr1	68084465	68084465	-0.126716429856363	0.126716429856363	8289	19742	19742	1	1	0.000846752421994394	0.776	0.122136244672489	1
chr11	132582488	132582640	-0.109446203024473	0.328338609073419	37135	262908	262910	3	4	0.0007574667946752	0.782	0.0177386190857606	1
chr2	158038801	158038801	0.126161151195768	0.126161151195768	99570	60171	60171	1	1	0.000901947173428078	0.786	0.123377152554722	1
chr2	24271844	24271844	-0.126152110789801	0.126152110789801	92417	45290	45290	1	13	0.000902596523444945	0.786	0.123394360330169	1
chr10	133107407	133107407	-0.125961240129101	0.125961240129101	26242	235487	235487	1	1	0.000917856248841316	0.794	0.123822281991284	1
chr6	107955689	107955689	0.125389797804334	0.125389797804334	148037	156074	156074	1	2	0.000974674375317167	0.802	0.125121956050043	1
chr1	180202530	180205253	-0.0751533058492267	0.90183967019072	13383	31998	32009	12	15	0.000467207337135711	0.808	0.000892856273191942	0.934
chr10	128250156	128250156	-0.125027182247038	0.125027182247038	25818	234355	234355	1	1	0.00101915485147255	0.814	0.125972929247147	1
chr14	89878619	89878619	0.125023048021862	0.125023048021862	54830	304048	304048	1	6	0.00101980420148941	0.814	0.125982344822391	1
chr10	50820803	50822175	-0.0748779496499263	0.898535395799116	20974	223462	223473	12	18	0.00047564888735498	0.816	0.000903895223478678	0.936
chr19	2250561	2251067	-0.0984064535119451	0.492032267559725	83144	373440	373444	5	5	0.000807791420982382	0.816	0.00613278623429912	1
chr2	37734390	37734390	-0.124629549382826	0.124629549382826	93344	47386	47386	1	1	0.00106071325255203	0.822	0.126935590647152	1
chr11	122073211	122073541	-0.111921613461082	0.223843226922164	36153	260915	260916	2	7	0.00100064837599184	0.834	0.0425859974811713	1
