chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr6	30094960	30095802	-0.225504492915501	6.31412580163402	143899	140664	140691	28	29	3.59903522822058e-07	0.01	1.29565268215941e-06	0.036
chr1	3566950	3568245	-0.254497926118261	5.59895437460175	1234	3633	3654	22	42	5.03864931950882e-07	0.014	2.66328606888323e-06	0.072
chr4	151500931	151501739	0.295993953999201	1.77596372399521	130049	108733	108738	6	6	1.29565268215941e-06	0.036	0.000414176974063625	0.998
chr6	28853021	28853050	0.308431403338671	0.616862806677341	143664	139180	139181	2	2	3.59903522822058e-06	0.082	0.010131931993782	1
chr4	151502935	151504187	0.254419352293159	2.28977417063843	130050	108739	108747	9	9	5.18261072863764e-06	0.118	0.000166491369657484	0.95
chr6	28848900	28849220	-0.292771674686748	0.585543349373497	143663	139178	139179	2	2	7.91787750208528e-06	0.144	0.0114827938763423	1
chr3	134369339	134370046	0.22287789455991	2.2287789455991	120358	87258	87267	10	13	1.26686040033364e-05	0.252	0.000183262873820992	0.966
chr4	151504725	151505467	0.252913487865146	1.01165395146058	130051	108748	108751	4	4	2.33937289834338e-05	0.33	0.00260706913861843	1
chr11	113184936	113185879	0.193903973795344	2.32684768554413	35266	258920	258931	12	12	2.21700570058388e-05	0.362	0.000158141607928012	0.944
chr18	55094774	55095555	0.23334495947216	1.1667247973608	81458	369387	369391	5	5	4.20367314656164e-05	0.484	0.00167815814621469	1
chr16	87739377	87739453	-0.234392385539255	0.937569542157021	69949	339086	339089	4	4	5.55691039237258e-05	0.572	0.00328109645615958	1
chr16	87738623	87738833	-0.239139631398257	0.717418894194772	69948	339083	339085	3	3	7.12608975187675e-05	0.588	0.00690150995363579	1
chr17	43037114	43037427	-0.237962810086796	0.713888430260389	75562	353728	353730	3	3	7.64435082474052e-05	0.612	0.00699393317829649	1
chr12	59307521	59307521	0.264482155808129	0.264482155808129	41577	273630	273630	1	1	0.000121575410009291	0.63	0.0582041015757152	1
chr7	27260102	27260466	-0.21929666516027	1.09648332580135	154486	171776	171780	5	6	7.4140125701344e-05	0.634	0.00203575828649069	1
chr14	102026086	102026555	0.177341755737461	1.95075931311207	56044	306804	306814	11	21	5.44893933552596e-05	0.638	0.000294257120259315	0.992
chr2	48982509	48983178	0.208666181297597	1.25199708778558	94249	49111	49116	6	6	7.97546206573681e-05	0.65	0.00134553531042255	1
chr4	151508942	151508942	0.260828757391091	0.260828757391091	130052	108752	108752	1	1	0.000144105370537952	0.668	0.059633710349069	1
chr16	710674	711235	0.224574107916891	0.898296431667566	63259	323010	323013	4	11	8.50811927951346e-05	0.674	0.00371262078002322	1
chr3	13323567	13324132	0.206573302766772	1.23943981660063	113917	73769	73774	6	6	8.63048647727296e-05	0.686	0.00138958750161597	1
chr17	40835849	40836125	-0.219981015173227	0.879924060692909	75175	352597	352600	4	4	0.000103580233868188	0.716	0.00393727255896875	1
chr11	59481031	59481031	-0.256500663849808	0.256500663849808	31109	248398	248398	1	1	0.000179159973660821	0.72	0.0613927748072141	1
chr6	101846409	101847656	-0.138625733094149	2.21801172950639	147823	155638	155653	16	16	6.44947112897128e-05	0.772	0.000186717947640084	0.966
chr6	146919854	146920295	0.171702905454575	1.71702905454575	149890	159931	159940	10	11	9.24232246607046e-05	0.774	0.00046974607798735	0.998
chr15	60286384	60286540	-0.22490907994527	0.674727239835809	59370	314533	314535	3	3	0.000135899570217609	0.78	0.00810898627270379	1
chr4	6010075	6010164	0.231417226204965	0.462834452409931	124808	97721	97722	2	2	0.000152743055085682	0.78	0.0195991941616163	1
