chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr13	100640914	100644657	0.100418083863042	2.51045209657605	41409	251512	251536	25	25	0	0	0	0
chr3	16411667	16411667	-0.160532329539255	0.160532329539255	97620	64920	64920	1	1	1.85157068741413e-06	0.006	0.0686951240737518	1
chr20	30072118	30072314	-0.125646846412301	0.251293692824602	90126	346118	346119	2	4	6.60393545177708e-05	0.088	0.0238321835079364	1
chr1	159111423	159111423	0.134080175606416	0.134080175606416	10474	25963	25963	1	1	7.22112568091512e-05	0.092	0.0908405266854539	1
chr5	140864020	140864834	0.0987595113410409	0.790076090728328	115727	108363	108370	8	8	5.73986913098381e-05	0.118	0.00064064345784529	0.592
chr17	38024394	38024394	-0.130896249646116	0.130896249646116	62863	304215	304215	1	4	0.000108625480328296	0.118	0.096049612219379	1
chr12	49658188	49659154	0.0872186771705204	1.04662412604624	33792	232506	232517	12	12	5.36955499350099e-05	0.13	0.000171578883700376	0.312
chr11	2292510	2293074	-0.0745170013439604	1.04323801881545	23496	207116	207129	14	42	7.77659688713936e-05	0.174	0.00017343045438779	0.312
chr14	32673368	32673368	0.126169326845819	0.126169326845819	43257	256577	256577	1	1	0.000206141536532107	0.18	0.10555063860673	1
chr6	27206911	27206911	-0.12520470363748	0.12520470363748	119959	117960	117960	1	2	0.000231446335926767	0.192	0.10773487482765	1
chr3	134516302	134516302	-0.124713408923417	0.124713408923417	102313	75589	75589	1	15	0.000245024520967804	0.2	0.108864332946972	1
chr2	150185860	150185860	-0.124629340227545	0.124629340227545	84669	52370	52370	1	1	0.000246876091655218	0.202	0.109059982249609	1
chr1	243053673	243053673	0.122615549192763	0.122615549192763	14862	35799	35799	1	1	0.000307360734110746	0.232	0.113998738463172	1
chr17	77776428	77777947	-0.0835294652855978	0.918824118141576	66842	314406	314416	11	11	0.000119734904452781	0.24	0.000313532636402127	0.448
chr6	49681178	49681774	-0.0903257073991074	0.722605659192859	122590	130805	130812	8	8	0.000182071117595723	0.248	0.000898628973624993	0.656
chr2	63283806	63285365	-0.0823353827857394	0.905689210643133	81003	44352	44362	11	40	0.00013269589926468	0.256	0.000339454626025924	0.464
chr2	115200247	115200321	0.110972942111088	0.221945884222175	83412	49837	49838	2	2	0.000354884381754376	0.274	0.0327740355476884	1
chr19	345306	345312	-0.109285928653982	0.218571857307964	69834	322743	322744	2	7	0.000429564399480079	0.316	0.0339034936670111	1
chr5	140865433	140865433	0.118136887713036	0.118136887713036	115728	108371	108371	1	1	0.000520908553392509	0.32	0.126444996623969	1
chr3	138657541	138659021	-0.0791861052239571	0.871047157463528	102480	76000	76010	11	13	0.000183922688283137	0.326	0.000420923736272146	0.512
chr20	29551622	29551622	-0.11769929169805	0.11769929169805	90102	346072	346072	1	1	0.000546830543016307	0.332	0.12776208057295	1
chr11	94278413	94279068	0.0858726801932725	0.68698144154618	29249	221957	221964	8	18	0.000297485690444537	0.346	0.00109859860786572	0.724
chr2	66671478	66671727	0.103460866983876	0.310382600951627	81193	44751	44753	3	3	0.000491900612623021	0.366	0.0136892792822818	0.998
chr4	24801110	24801801	-0.102095542355615	0.306286627066844	106754	86506	86508	3	4	0.000567815010807001	0.386	0.0141848830362797	0.998
chr2	48982509	48982957	0.0938480082954355	0.469240041477178	80619	43429	43433	5	6	0.000449931677041634	0.394	0.00414936991049507	0.96
chr11	44332938	44333192	-0.0772443271656857	0.772443271656857	25516	212300	212309	10	43	0.000317235777776955	0.43	0.000701745290529957	0.614
chr1	79471984	79472643	0.077060505221148	0.77060505221148	7693	18643	18652	10	11	0.000321556109380921	0.432	0.000708534383050475	0.614
chr22	32599511	32599648	0.100065787953936	0.300197363861807	94908	358225	358227	3	3	0.000737542323819963	0.444	0.0149859959537009	0.998
chr4	6010075	6010164	0.104920252235442	0.209840504470885	105810	84457	84458	2	2	0.000760995552527209	0.444	0.0369709291058271	1
chr12	56040025	56040208	-0.0953807002131751	0.381522800852701	34572	234608	234611	4	6	0.000664096686552536	0.45	0.00769697934758055	0.992
chr6	74233269	74233640	0.0949190968244248	0.379676387297699	123064	131879	131882	4	4	0.000704831241675647	0.47	0.00779449540378436	0.992
chr3	138152837	138152837	-0.112181202319324	0.112181202319324	102447	75903	75903	1	15	0.00108810637397037	0.49	0.145828472960279	1
chr12	123380878	123380891	0.0974155508907033	0.29224665267211	37675	242409	242411	3	10	0.000990590317766561	0.518	0.016108664980503	1
chr1	229569670	229570052	-0.0766146133904514	0.689531520514063	14200	34359	34367	9	15	0.000484494329873365	0.528	0.00107823133030416	0.718
chr13	100627929	100627956	0.101827796143013	0.203655592286026	41403	251482	251483	2	2	0.00108625480328296	0.528	0.0394853620993355	1
chr10	42862978	42863173	-0.101759294428302	0.203518588856603	17337	191290	191291	2	7	0.00109119232511606	0.53	0.0395470811222493	1
chr3	49314155	49314920	0.0661737833873862	0.727911617261248	99087	68485	68495	11	11	0.000480791188498537	0.544	0.000873324174230333	0.646
chr17	48194635	48194939	-0.0961021073327519	0.288306321998256	64357	308295	308297	3	5	0.00114241911413452	0.546	0.0167091910734543	1
chr13	111935412	111935508	0.100986149001061	0.201972298002121	41885	252621	252622	2	6	0.00120413813704832	0.554	0.0402389513691131	1
chr11	31848554	31849061	-0.0915347307707728	0.366138923083091	25101	211299	211302	4	7	0.00103132487288967	0.572	0.00862276469128762	0.994
chr19	46916520	46917061	0.0867561165166435	0.433780582583218	75608	338277	338281	5	6	0.00101959825853605	0.606	0.00529734373669184	0.984
chr12	104443742	104444418	0.0721013152700815	0.648911837430734	36131	238499	238507	9	9	0.000714089095112717	0.622	0.00134732627020835	0.774
chr10	29948324	29948428	0.0990247311548989	0.198049462309798	16938	190558	190559	2	2	0.00153988962169942	0.622	0.0422096397707509	1
chr7	127774800	127774800	-0.107800954523067	0.107800954523067	133241	157336	157336	1	1	0.00183428936099827	0.626	0.16017691140728	1
chr16	2892766	2892782	0.0980945016991497	0.196189003398299	53478	281168	281169	2	6	0.00170529660310842	0.632	0.043220597366079	1
chr5	139743303	139743303	-0.107171968837926	0.107171968837926	115532	107713	107713	1	2	0.00198673534759537	0.648	0.16213895914571	1
chr12	93770794	93770794	0.107159131118834	0.107159131118834	35738	237532	237532	1	1	0.00199229005965761	0.648	0.16218216246175	1
