chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr2	242988706	242988706	0.196919310677983	0.196919310677983	89189	62882	62882	1	1	2.40595451871067e-05	0.106	0.0603112041413525	1
chr19	345306	345454	-0.174944314579963	0.524832943739889	69834	322743	322745	3	7	2.74619051125561e-05	0.13	0.00546394701456283	1
chr5	8457548	8458392	-0.143510472366982	1.00457330656888	111695	98789	98795	7	7	3.45096506724157e-05	0.168	0.00053003907124323	0.878
chr16	3242639	3242737	0.174267017431468	0.348534034862935	53621	281548	281549	2	2	5.17644760086235e-05	0.184	0.0166866312286578	1
chr17	773023	773283	0.165499136753548	0.496497410260645	59630	295722	295724	3	3	5.6624990187837e-05	0.214	0.00646375478122704	1
chr6	49681178	49681774	-0.130920972990459	1.04736778392367	122590	130805	130812	8	8	5.20075017175842e-05	0.234	0.00044376494456219	0.842
chr12	93770794	93770794	0.181400885862082	0.181400885862082	35738	237532	237532	1	1	8.55450495541572e-05	0.248	0.0711525810180882	1
chr1	91301204	91301962	0.142444752014625	0.854668512087752	8026	19445	19450	6	6	6.14855043670505e-05	0.25	0.00103601859729935	0.958
chr4	6010075	6010164	0.169343008924299	0.338686017848598	105810	84457	84458	2	2	7.53379697778089e-05	0.262	0.0179326240384992	1
chr19	3275394	3275998	-0.134567059859333	0.807402359155999	70880	325404	325409	6	6	0.000107174337651657	0.374	0.00126786512364784	0.984
chr3	16411667	16411667	-0.170741081205863	0.170741081205863	97620	64920	64920	1	1	0.000190775181534129	0.428	0.0795909196846207	1
chr17	41363502	41364121	-0.109276565445417	1.09276565445417	63427	305719	305728	10	10	0.000123457060152022	0.454	0.000372315386127752	0.806
chr6	32847527	32847842	-0.0779370482247819	1.16905572337173	121022	125692	125706	15	16	8.87043837706459e-05	0.456	0.000280694693849578	0.726
chr13	110521956	110522297	-0.129193319692201	0.645966598461007	41674	252127	252131	5	5	0.000256392122953511	0.572	0.00279625380730151	1
chr22	32599511	32599648	0.143323620319211	0.429970860957634	94908	358225	358227	3	3	0.000290415722208005	0.586	0.00967072203667209	1
chr20	18485171	18485171	-0.162278025232514	0.162278025232514	89829	345303	345303	1	1	0.000359435023552837	0.588	0.0866282151389949	1
chr3	138152837	138152837	-0.161680412115739	0.161680412115739	102447	75903	75903	1	15	0.000377418926015926	0.598	0.0871412424106109	1
chr12	55413610	55413878	-0.132088740973039	0.528354963892157	34557	234586	234589	4	4	0.00034971399519441	0.67	0.0053528842655678	1
chr6	27206911	27206911	-0.156914461384095	0.156914461384095	119959	117960	117960	1	2	0.000532469328332836	0.67	0.0913409696871603	1
chr1	15062529	15062529	0.155286224106778	0.155286224106778	2750	6856	6856	1	1	0.000608293349528567	0.7	0.0928314463602161	1
chr13	89815421	89815451	-0.140514082742397	0.281028165484794	41056	250702	250703	2	2	0.000635755254641123	0.762	0.0281102977040632	1
chr9	123631254	123631620	-0.118719950891854	0.474879803567417	144629	182597	182600	4	5	0.00089433460897528	0.856	0.00731944830247757	1
chr19	1357758	1357758	0.146569201680923	0.146569201680923	70249	323817	323817	1	1	0.00115947565745137	0.856	0.101963623425831	1
chr19	57742112	57742444	-0.0901010259354507	0.810909233419056	77323	342736	342744	9	10	0.000537815893929971	0.87	0.00124963819547578	0.982
chr10	87676527	87676527	0.144708244368722	0.144708244368722	19303	195470	195470	1	1	0.001328621550888	0.874	0.104264104786853	1
chr10	43247938	43247938	-0.144505048371859	0.144505048371859	17350	191333	191333	1	1	0.00134952176185862	0.876	0.104524628346859	1
chr1	45965020	45965020	-0.144487751452473	0.144487751452473	6243	15230	15230	1	13	0.00135049386469446	0.876	0.104547229737792	1
chr2	60154029	60154033	-0.131946884722625	0.263893769445249	80853	43949	43950	2	2	0.00114951160338399	0.884	0.0324473345061754	1
chr7	100224015	100224557	-0.111805239827324	0.559026199136619	132202	154961	154965	5	7	0.000881940297818285	0.886	0.00448941392163053	1
chr20	30072118	30072314	-0.131850721112528	0.263701442225056	90126	346118	346119	2	4	0.00115631632323489	0.886	0.0324978838536392	1
chr10	124638756	124639012	-0.106742944705499	0.640457668232991	21389	200792	200797	6	14	0.000792506836920757	0.896	0.00287985465118398	1
chr1	91191583	91192162	0.106443199948048	0.638659199688287	8020	19414	19419	6	22	0.000808303508003201	0.898	0.0029063444534607	1
chr10	11088146	11088146	0.142118231701674	0.142118231701674	16202	188751	188751	1	2	0.00160372665343149	0.906	0.107731352576595	1
chr4	155702220	155702931	-0.0919986167178299	0.735988933742639	109723	93733	93740	8	10	0.000756782057703538	0.912	0.00176582480130826	0.996
chr8	58055024	58055168	-0.129328645248246	0.258657290496492	138767	170316	170317	2	2	0.00138986402954609	0.912	0.0339399984106119	1
chr17	836474	836474	0.139446007385334	0.139446007385334	59643	295756	295756	1	1	0.00193569977187177	0.926	0.111667639984631	1
chr2	242549431	242549943	-0.12049065923937	0.36147197771811	89044	62467	62469	3	3	0.00150262795850385	0.94	0.0152462178516479	1
chr18	14999803	14999803	-0.138403859854626	0.138403859854626	68387	319084	319084	1	1	0.00210557474243528	0.94	0.113310250751496	1
chr2	242989856	242989856	0.13829144080283	0.13829144080283	89190	62883	62883	1	3	0.00212404469631629	0.94	0.113486930441911	1
chr4	48491941	48492344	-0.0960378552323942	0.67226498662676	107298	87825	87831	7	7	0.000975991247186066	0.946	0.00244022114367413	1
chr7	63560973	63560973	0.137664051287169	0.137664051287169	130657	151018	151018	1	5	0.00222490036553497	0.946	0.114489654517082	1
chr6	168435914	168436353	0.105635866731254	0.528179333656269	126359	139775	139779	5	6	0.00135754161025432	0.95	0.0053584738568739	1
chr3	151157436	151157436	-0.136542995888661	0.136542995888661	102912	77135	77135	1	1	0.00241859185557663	0.95	0.116363382733169	1
chr1	32052538	32052651	-0.124536014491774	0.249072028983549	4806	11595	11596	2	4	0.00195538485429758	0.958	0.0369513299703436	1
chr6	100903227	100904376	-0.0730763589579893	0.730763589579894	123601	133361	133370	10	20	0.000806116276622555	0.962	0.00180981245463014	0.996
chr7	130125836	130126637	-0.0703219571967329	0.703219571967329	133508	157978	157987	10	18	0.000868330858116488	0.964	0.00208588966000946	1
chr7	29923339	29924165	-0.0921573766743596	0.645101636720517	129211	147940	147946	7	8	0.00123651480719191	0.964	0.00281107837554811	1
chr13	111301379	111301487	-0.121889675068189	0.243779350136378	41799	252414	252415	2	6	0.00234544111717946	0.966	0.0387361107769508	1
chr16	78323024	78323024	0.13412695163912	0.13412695163912	57557	290782	290782	1	1	0.00287596623984061	0.966	0.120552659904233	1
chr15	93617030	93617168	0.0904889529381634	0.633422670567144	51863	276718	276724	7	22	0.00136434633010522	0.97	0.00299018832305213	1
chr1	166853278	166853812	0.0966993350967282	0.580196010580369	11006	27201	27206	6	6	0.00151186293544435	0.97	0.00398562162695505	1
chr2	242889340	242889340	0.132218478318162	0.132218478318162	89169	62852	62852	1	3	0.00330028912768595	0.972	0.124059763910245	1
chr19	35069269	35069269	-0.13107844514463	0.13107844514463	74056	333907	333907	1	6	0.00358171289866241	0.974	0.126279803761601	1
chr2	70312492	70312492	0.13048507812636	0.13048507812636	81388	45167	45167	1	2	0.00374478314937502	0.978	0.127457749372933	1
chr6	6318785	6318785	0.130214348660263	0.130214348660263	118835	115446	115446	1	1	0.00381987809344387	0.98	0.127983170955706	1
chr5	1201479	1201713	0.0830553357502417	0.664442686001934	111074	97033	97040	8	12	0.00124672188696826	0.982	0.00253767445296736	1
chr5	3103718	3103774	-0.118138915675757	0.236277831351513	111446	98181	98182	2	2	0.0030521598788371	0.982	0.0414733093369748	1
chr9	23830348	23830348	-0.129466902610217	0.129466902610217	142696	179403	179403	1	1	0.00404297569426977	0.982	0.129529543541823	1
chr1	150335507	150335507	-0.12912391133395	0.12912391133395	9464	23213	23213	1	1	0.00414140110639884	0.982	0.130237720457734	1
chr12	114846162	114847438	0.0750248712262275	0.675223841036048	36971	240538	240546	9	12	0.00111646010696534	0.984	0.00240619754441963	1
chr17	45401733	45401833	-0.118024335168949	0.236048670337899	63949	307075	307076	2	9	0.00307670547544213	0.984	0.0415610416179096	1
chr11	76751369	76751596	-0.117800400238125	0.23560080047625	28726	220807	220808	2	3	0.00312458154010738	0.984	0.0417267851514208	1
chr3	137728810	137729135	-0.073793263265844	0.664139369392596	102402	75803	75811	9	14	0.00116846760868292	0.986	0.00254302101856449	1
chr3	147074073	147075099	-0.0927929527906096	0.556757716743657	102729	76633	76638	6	7	0.00192403453784165	0.986	0.00454263655189292	1
chr13	79161619	79161619	-0.128400102750348	0.128400102750348	40972	250472	250472	1	1	0.00436498475864266	0.986	0.131750555496014	1
chr18	77905119	77905947	-0.0810455163481044	0.648364130784835	69802	322655	322662	8	8	0.00138111510402351	0.988	0.00276004297666637	1
chr11	70559104	70559616	0.102653664914273	0.410614659657091	28111	219400	219403	4	6	0.0027184855804341	0.988	0.0109439337259171	1
chr3	13692202	13692212	-0.116656329721706	0.233312659443412	97366	64458	64459	2	7	0.00337927248309817	0.988	0.0426179604261796	1
chr1	175162044	175162397	-0.068648126659789	0.617833139938101	11349	28043	28051	9	17	0.00135827068738121	0.99	0.00325703055149095	1
chr13	110885015	110885926	-0.0957548506349494	0.478774253174747	41710	252192	252196	5	5	0.00258384933766988	0.99	0.00714665702340654	1
chr11	315908	316456	0.0956704886246547	0.478352443123274	22805	204915	204919	5	9	0.00259648667453584	0.99	0.00716439790016066	1
