chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr2	242988706	242988706	0.196031054939397	0.196031054939397	89189	62882	62882	1	1	2.40451440218251e-05	0.122	0.0597884959688807	1
chr19	345306	345454	-0.17526720317386	0.52580160952158	69834	322743	322745	3	7	2.67440887589688e-05	0.124	0.00526122472714282	1
chr5	8457548	8458392	-0.14202164875302	0.994151541271142	111695	98789	98795	7	7	2.968839210858e-05	0.154	0.000537580719916519	0.896
chr1	91301204	91301962	0.144106368282784	0.864638209696702	8026	19445	19450	6	6	4.49006260815714e-05	0.192	0.000932853444601828	0.968
chr16	3242639	3242737	0.173652375557499	0.347304751114998	53621	281548	281549	2	2	4.95624397184559e-05	0.2	0.0164934966472972	1
chr6	49681178	49681774	-0.131809016238855	1.05447212991084	122590	130805	130812	8	8	4.07295296696222e-05	0.208	0.000413674620620379	0.83
chr12	93770794	93770794	0.183961510517732	0.183961510517732	35738	237532	237532	1	1	6.23210875667713e-05	0.23	0.0680288649686051	1
chr17	773023	773283	0.162912348854919	0.488737046564756	59630	295722	295724	3	3	6.30571634041741e-05	0.238	0.00654567706341073	1
chr4	6010075	6010164	0.167311904071857	0.334623808143714	105810	84457	84458	2	2	8.293121101405e-05	0.278	0.0181001048417351	1
chr19	3275394	3275998	-0.132545387514059	0.795272325084356	70880	325404	325409	6	6	0.000109920658385486	0.352	0.00127831837095621	0.984
chr3	16411667	16411667	-0.171305952701796	0.171305952701796	97620	64920	64920	1	1	0.000169788159827582	0.434	0.0776530565426469	1
chr13	110521956	110522297	-0.13275905209856	0.663795260492799	41674	252127	252131	5	5	0.00017813035265148	0.454	0.00246781692419916	0.998
chr6	32847527	32847842	-0.0773500423383444	1.16025063507517	121022	125692	125706	15	16	9.29909141252217e-05	0.456	0.000268176963427091	0.73
chr17	41363502	41364121	-0.108554138233723	1.08554138233723	63427	305719	305728	10	10	0.000122679306233802	0.476	0.000363130746452053	0.802
chr20	18485171	18485171	-0.165874081534398	0.165874081534398	89829	345303	345303	1	1	0.000259344053378257	0.548	0.0820758908909879	1
chr3	138152837	138152837	-0.165765339359825	0.165765339359825	102447	75903	75903	1	15	0.00026106156366553	0.548	0.082165692143151	1
chr22	32599511	32599648	0.143310657519409	0.429931972558228	94908	358225	358227	3	3	0.000277991307925795	0.588	0.00943600151827909	1
chr13	89815421	89815451	-0.146831531504634	0.293663063009267	41056	250702	250703	2	2	0.000358959650040104	0.652	0.0248280833542093	1
chr12	55413610	55413878	-0.129527843059882	0.518111372239526	34557	234586	234589	4	4	0.000385458380186605	0.684	0.00550265760181094	1
chr6	27206911	27206911	-0.157123570391019	0.157123570391019	119959	117960	117960	1	2	0.000485810052685855	0.718	0.0894570140298508	1
chr1	15062529	15062529	0.151774013393171	0.151774013393171	2750	6856	6856	1	1	0.000721599679267222	0.8	0.0945158179017079	1
chr19	1357758	1357758	0.147010393417696	0.147010393417696	70249	323817	323817	1	1	0.00102903402068913	0.878	0.0996663858946278	1
chr20	30072118	30072314	-0.132216565182068	0.264433130364136	90126	346118	346119	2	4	0.00105479667499823	0.88	0.031608813968364	1
chr19	57742112	57742444	-0.0894486498868996	0.805037848982096	77323	342736	342744	9	10	0.000557454767526395	0.894	0.00122433947621334	0.982
chr10	124638756	124639012	-0.106609118409222	0.63965471045533	21389	200792	200797	6	14	0.000767236381186196	0.894	0.0028120550574912	1
chr1	91191583	91192162	0.106425414112854	0.638552484677123	8020	19414	19419	6	22	0.000778277518747238	0.896	0.00282898480175147	1
chr7	100224015	100224557	-0.110774623699215	0.553873118496077	132202	154961	154965	5	7	0.00091935872091611	0.896	0.00446773497442259	1
chr1	45965020	45965020	-0.145412500255904	0.145412500255904	6243	15230	15230	1	13	0.00115809265084709	0.896	0.101602019988385	1
chr2	60154029	60154033	-0.130834432460721	0.261668864921442	80853	43949	43950	2	2	0.00116299982309644	0.902	0.0323706524600759	1
chr10	43247938	43247938	-0.144492822485142	0.144492822485142	17350	191333	191333	1	1	0.00124642175133543	0.906	0.102767718756218	1
chr10	87676527	87676527	0.144137888603609	0.144137888603609	19303	195470	195470	1	1	0.00127954516401855	0.91	0.103228992947657	1
chr8	58055024	58055168	-0.129768879062002	0.259537758124004	138767	170316	170317	2	2	0.00125991647502114	0.912	0.032998279790768	1
chr4	155702220	155702931	-0.0926688983392343	0.741351186713875	109723	93733	93740	8	10	0.000719146093142546	0.924	0.00167040143367944	0.992
chr4	48491941	48492344	-0.0982277328353301	0.687594129847311	107298	87825	87831	7	7	0.00083029354459037	0.924	0.00218859882321102	0.998
chr2	242549431	242549943	-0.121749925717213	0.365249777151638	89044	62467	62469	3	3	0.00134554663077234	0.928	0.0145374977887055	1
chr9	123631254	123631620	-0.115761682613184	0.463046730452738	144629	182597	182600	4	5	0.00105136165442368	0.932	0.00766892879128741	1
chr10	11088146	11088146	0.141070879859076	0.141070879859076	16202	188751	188751	1	2	0.00159826600161397	0.948	0.107387821428983	1
chr18	14999803	14999803	-0.13944112527248	0.13944112527248	68387	319084	319084	1	1	0.00180044149828727	0.952	0.109818098485475	1
chr1	32052538	32052651	-0.123517822213704	0.247035644427408	4806	11595	11596	2	4	0.00201488492558396	0.958	0.0368695479782818	1
chr6	100903227	100904376	-0.0762066417855983	0.762066417855983	123601	133361	133370	10	20	0.000709331748643842	0.962	0.00150797403222589	0.992
chr7	63560973	63560973	0.137349708649696	0.137349708649696	130657	151018	151018	1	5	0.00210983870860892	0.966	0.113086520562156	1
chr5	1201479	1201713	0.0861563037664975	0.68925043013198	111074	97033	97040	8	12	0.00103026081375147	0.968	0.00217191443756323	0.998
chr7	29923339	29924165	-0.0932636043454486	0.65284523041814	129211	147940	147946	7	8	0.00113404750682526	0.968	0.00261625888474206	0.998
chr1	166853278	166853812	0.0972669973058122	0.583601983834873	11006	27201	27206	6	6	0.00140958522862638	0.97	0.00380281313463539	1
chr13	111301379	111301487	-0.12187127770346	0.24374255540692	41799	252414	252415	2	6	0.00226613214475079	0.97	0.0379866657408468	1
chr17	836474	836474	0.136355130687873	0.136355130687873	59643	295756	295756	1	1	0.00227030324116273	0.97	0.114728215038177	1
chr3	151157436	151157436	-0.135204295983906	0.135204295983906	102912	77135	77135	1	1	0.0024621736761124	0.97	0.116716846592227	1
chr2	242989856	242989856	0.135028220073766	0.135028220073766	89190	62883	62883	1	3	0.0024894084820963	0.97	0.117023790216423	1
chr7	130125836	130126637	-0.0722338488131929	0.722338488131929	133508	157978	157987	10	18	0.000805512324731142	0.974	0.00184607820020625	0.994
chr5	80529067	80529340	-0.0960548630043095	0.576329178025857	113655	103254	103259	6	8	0.0015290748728981	0.974	0.00395518083297777	1
chr5	42953543	42954090	-0.116094535336099	0.348283606008296	112559	100568	100570	3	3	0.00196188746529096	0.976	0.0163722894927382	1
chr16	78323024	78323024	0.134254164527371	0.134254164527371	57557	290782	290782	1	1	0.00262509179479089	0.976	0.118397307729017	1
chr6	6318785	6318785	0.133665984847654	0.133665984847654	118835	115446	115446	1	1	0.00274458143906261	0.98	0.119427323184156	1
chr18	77905119	77905947	-0.0820259480066906	0.656207584053525	69802	322655	322662	8	8	0.00127512870899414	0.982	0.00256424285889892	0.998
chr15	93617030	93617168	0.0901372049862249	0.630960434903575	51863	276718	276724	7	22	0.00137793396761806	0.982	0.00293988689458682	1
chr6	168435914	168436353	0.101607656554403	0.508038282772016	126359	139775	139779	5	6	0.00173198644540881	0.982	0.00584615965926559	1
chr9	23830348	23830348	-0.132811730428518	0.132811730428518	142696	179403	179403	1	1	0.00291608710917747	0.982	0.120997618303949	1
chr2	242889340	242889340	0.131810923902318	0.131810923902318	89169	62852	62852	1	3	0.00314009952236039	0.984	0.122895221812773	1
chr17	45401733	45401833	-0.117794886290498	0.235589772580995	63949	307075	307076	2	9	0.00299705545129178	0.988	0.0409037342844742	1
chr1	150335507	150335507	-0.131083172129467	0.131083172129467	9464	23213	23213	1	1	0.00330767945467576	0.988	0.124287386579914	1
chr4	74847646	74847829	-0.0863853373693818	0.604697361585672	107777	88937	88943	7	9	0.00168389615736516	0.99	0.00338202311425345	1
chr6	29943209	29943677	0.0861016078519102	0.602711254963371	120349	119784	119790	7	30	0.00171432062531115	0.99	0.00342054441641086	1
chr2	178973019	178973092	-0.104477640823088	0.417910563292354	85658	54802	54805	4	8	0.00230637095719547	0.99	0.010194159630804	1
chr5	3103718	3103774	-0.117582235230825	0.235164470461651	111446	98181	98182	2	2	0.00304023856708607	0.99	0.0410749945959766	1
chr11	76751369	76751596	-0.117129097182562	0.234258194365123	28726	220807	220808	2	3	0.00313764593623571	0.99	0.0414189873706561	1
chr14	62217806	62218076	-0.115331652222684	0.230663304445367	44167	258883	258884	2	2	0.00356775958389142	0.99	0.042820966482296	1
chr3	137728810	137729135	-0.0758561243788803	0.682705119409923	102402	75803	75811	9	14	0.0010481719924616	0.992	0.0022425777179539	0.998
chr3	147074073	147075099	-0.0914249094569154	0.548549456741493	102729	76633	76638	6	7	0.00203868471099332	0.992	0.00459998326654263	1
chr17	35014412	35014676	-0.10392188436217	0.415687537448681	62511	303251	303254	4	5	0.00239445469907134	0.992	0.01033793977771	1
chr6	163558575	163558823	-0.110438225244743	0.331314675734229	125924	138706	138708	3	3	0.002915841750565	0.992	0.0185461667992012	1
chr6	19144134	19144166	0.114572431857582	0.229144863715164	119564	116958	116959	2	2	0.00376600934276525	0.992	0.0434093364349933	1
chr3	13692202	13692212	-0.113777591671259	0.227555183342518	97366	64458	64459	2	7	0.00398756816982349	0.992	0.044048250261859	1
chr19	35069269	35069269	-0.129925230387827	0.129925230387827	74056	333907	333907	1	6	0.00360112835518702	0.992	0.126536343621792	1
chr12	114846162	114847438	0.0737116897934319	0.663405208140887	36971	240538	240546	9	12	0.00113723716878734	0.994	0.00247076122754877	0.998
chr7	100815485	100816740	-0.090797244360256	0.544783466161536	132315	155322	155327	6	7	0.00212112520478243	0.994	0.00470401531822889	1
chr2	150444762	150444834	-0.111925964740667	0.223851929481334	84681	52391	52392	2	7	0.00455802694381067	0.994	0.0455832137414563	1
chr1	175162044	175162397	-0.0694550342318429	0.625095308086586	11349	28043	28051	9	17	0.00129721098411622	0.996	0.0030294427881375	1
chr5	23506738	23507656	-0.0607247909638777	0.5465231186749	112116	99550	99558	9	9	0.00149619681882745	0.996	0.00465298072683563	1
