chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
chr17	41277847	41278622	-0.190783650948896	2.67097111328454	75255	352850	352863	14	34	1.4954490337589e-06	0.024	2.5029094354491e-05	0.406
chr6	49681178	49681774	-0.208087850805683	1.87279065725115	146330	152289	152297	9	9	2.36123531646141e-06	0.04	0.000116802440320958	0.848
chr12	115134344	115135664	-0.0923492180718433	2.58577810601161	44333	279539	279566	28	55	9.8384804852559e-06	0.212	2.81774081097729e-05	0.448
chr12	122356033	122356852	0.177992766322646	1.42394213058117	44955	281143	281150	8	10	1.91260060633375e-05	0.236	0.000368195293680217	0.972
chr19	2425476	2425476	-0.228725975418252	0.228725975418252	83196	373609	373609	1	3	6.39894770761043e-05	0.25	0.0549342183453187	1
chr3	147108512	147108916	0.206107722883122	0.618323168649367	120922	88588	88590	3	3	3.35295414937521e-05	0.254	0.00572198154238095	1
chr3	13008878	13009509	-0.151876996013063	1.51876996013063	113883	73692	73701	10	10	3.998358469208e-05	0.41	0.000283899192882544	0.96
chr3	147105899	147107349	0.158691407865358	1.26953126292286	120920	88579	88586	8	8	5.82438044727149e-05	0.5	0.000571655070115309	0.99
chr11	128693961	128694679	-0.161349407206907	1.12944585044835	36793	262199	262205	7	12	6.99712732111399e-05	0.532	0.000865314035639227	0.998
chr6	28956226	28956804	-0.0907245495693635	1.90521554095663	143688	139394	139414	21	21	3.29785865865778e-05	0.55	0.000108852948088871	0.828
chr17	38024394	38024636	-0.190324736755013	0.380649473510027	74635	351212	351213	2	6	0.000131048560063609	0.55	0.0190014115464722	1
chr20	29551622	29551622	-0.199577017020022	0.199577017020022	106059	396674	396674	1	1	0.000333878673747644	0.618	0.0707055386867155	1
chr20	61560373	61561020	-0.158133469124842	0.948800814749055	108067	402189	402194	6	6	0.000117353395228132	0.654	0.00157895805611775	1
chr13	100547192	100549017	0.115553513057048	1.61774918279867	49813	292079	292092	14	14	7.10731830254886e-05	0.656	0.00021762718833386	0.93
chr7	94284917	94285642	-0.110832906608313	1.66249359912469	157899	178728	178742	15	90	6.59571731731555e-05	0.658	0.0001937787116376	0.918
chr8	124172871	124173231	-0.17457413659175	0.52372240977525	168830	203315	203317	3	6	0.000179453884051068	0.68	0.00887092496041389	1
chr7	19183231	19185407	0.102931522181331	1.64690435490129	153978	170298	170313	16	16	6.85545320212631e-05	0.72	0.000201334664650277	0.926
chr8	54817069	54817069	-0.192140213622107	0.192140213622107	166207	197781	197781	1	1	0.000501998628279697	0.75	0.0757855790543945	1
chr6	10382738	10383164	-0.150655468150574	0.903932808903442	142183	135482	135487	6	11	0.000171661807506745	0.76	0.00184900466847705	1
chr3	147141588	147142415	0.13994074718123	1.11952597744984	120934	88710	88717	8	18	0.000157494395607976	0.778	0.000893806275124528	0.998
chr13	20392406	20392981	-0.148981512034045	0.893889072204269	46538	285247	285252	6	6	0.000187324668439272	0.778	0.00191252189848986	1
chr13	100640914	100642451	0.119917010673724	1.43900412808469	49839	292182	292193	12	26	0.000116330193257666	0.802	0.00035450012884474	0.97
chr6	30139903	30140417	0.119157217724524	1.42988661269429	143922	140857	140868	12	24	0.00012034429329565	0.808	0.000363000575984002	0.972
chr12	104609432	104609980	-0.141967680590266	0.993773764131861	43343	277138	277144	7	7	0.000199366968553225	0.824	0.00135361749908345	1
chr17	4802692	4804104	0.125413451993194	1.25413451993194	71706	343714	343723	10	10	0.000171189560443453	0.836	0.000598966691942379	0.99
chr12	3862221	3862810	-0.108143018538549	1.40585924100114	37832	264425	264437	13	13	0.000130576313000316	0.838	0.000386849052680262	0.972
chr1	247681439	247681931	-0.15027210654841	0.751360532742051	17782	41204	41208	5	8	0.000255249537709479	0.846	0.00328920079583075	1
chr18	74499372	74499584	-0.150020261953138	0.750101309765689	81853	370409	370413	5	5	0.000258476559308643	0.846	0.00330557202735822	1
chr3	147107900	147107900	0.182816648382119	0.182816648382119	120921	88587	88587	1	1	0.000846660276639181	0.85	0.0829704245831672	1
chr15	76627594	76628154	-0.153740113951771	0.614960455807085	61073	318099	318102	4	12	0.000323016991291922	0.858	0.00580730084514909	1
chr7	150497065	150499362	-0.090722347108546	1.45155755373674	161479	186779	186794	16	17	0.000116723732477076	0.876	0.000341749458135849	0.97
chr12	54424085	54425418	0.140982757086823	0.845896542520937	40955	271827	271832	6	8	0.000292793179241215	0.884	0.00228016623726291	1
chr10	1551251	1551326	-0.160541685394991	0.481625056184974	18232	217558	217560	3	3	0.000389682535060016	0.89	0.0109210281700096	1
chr1	152161397	152162025	-0.139039890207188	0.834239341243128	11134	26588	26593	6	8	0.000327424630549316	0.904	0.00237941682839817	1
chr1	11046185	11046185	-0.177322350970984	0.177322350970984	2509	6411	6411	1	1	0.00116062586588467	0.904	0.087536738853828	1
chr17	17655531	17655845	-0.156695345585021	0.470086036755062	72958	347071	347073	3	5	0.000478779814334493	0.916	0.0115841417547158	1
chr6	30651825	30652771	-0.100404148023068	1.30525392429989	144028	141896	141908	13	30	0.000186144050781042	0.918	0.000517031826461168	0.988
chr1	180201891	180205253	-0.0899603667302657	1.34940550095399	13383	31995	32009	15	15	0.000163554899586894	0.924	0.000452806225853417	0.98
chr8	23562918	23564717	-0.0899130142434617	1.34869521365193	164578	194330	194344	15	15	0.000164105854494068	0.924	0.000453357180760592	0.98
chr5	158737729	158737792	-0.16134418852834	0.32268837705668	139521	129500	129501	2	2	0.000633834266782126	0.926	0.027321224184024	1
chr14	101131459	101131459	-0.174494475493799	0.174494475493799	55876	306245	306245	1	1	0.00135660839715096	0.926	0.0899989563339901	1
chr1	205313385	205313575	-0.161257581201949	0.322515162403898	14767	34815	34816	2	4	0.0006374548276007	0.93	0.0273540453549228	1
chr12	25054873	25056243	-0.0983345872685283	1.27834963449087	39169	267453	267465	13	13	0.000204246854873912	0.932	0.00055709411899713	0.99
chr3	16411667	16411667	-0.173757267230963	0.173757267230963	114261	74433	74433	1	1	0.00141626894281356	0.932	0.0906541204264643	1
chr18	12658644	12658644	-0.173697240647273	0.173697240647273	80591	367079	367079	1	6	0.00142099141344648	0.932	0.0907095307485572	1
chr11	19371800	19372392	-0.135051627476802	0.810309764860812	29256	244202	244207	6	7	0.000411484607815343	0.934	0.00261215592275738	1
chr2	162282922	162284894	-0.098017448883528	1.27422683548586	99804	60618	60630	13	13	0.000207080337253666	0.936	0.00056362687003934	0.99
chr22	31480934	31481480	-0.14488240459709	0.57952961838836	111193	409625	409628	4	4	0.000527814801073008	0.942	0.0068138167527127	1
chr1	165323232	165325673	0.075896878949731	1.2143500631957	12586	30197	30212	16	25	0.000176541693827432	0.952	0.000671377908313862	0.992
chr17	71739339	71739385	-0.156851929231627	0.313703858463254	77906	359275	359276	2	2	0.00080738506254204	0.952	0.0290261934981969	1
chr20	57089461	57090749	0.102707901910153	1.23249482292184	107631	401016	401027	12	12	0.000254619874958423	0.954	0.000635014884440356	0.99
chr13	100642775	100644657	0.0937801164994945	1.21914151449343	49839	292195	292207	13	26	0.000247536169009038	0.956	0.000661775551360253	0.992
chr3	147114986	147116420	0.130569729288306	0.783418375729836	120925	88620	88625	6	7	0.000522698791220675	0.96	0.00289424483523064	1
