probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.16053232953925678,0.7934002988877862,-22.16038656055291,4.638302522598623e-69,1.6810785364755094e-63,146.6708431998531,RFTN1
cg24016844,0.032558649737830854,0.06699700254756916,12.966107522866483,9.011829650081046e-32,1.633096733698737e-26,61.11353755831212,C1orf103;C1orf103
cg25294185,0.09268057911214926,0.12248826738952844,12.63895686565177,1.617757444339829e-30,1.9544343386062053e-25,58.24152005726555,RNASEH2C
cg07852945,-0.05486532568478199,0.08560759757156225,-9.490666004907947,3.3662498350399757e-19,3.050108481782196e-14,32.37127960581678,TLE1
cg03687700,-0.08174109496774,0.11643499187786602,-9.333763769278374,1.1133915432297751e-18,8.070619011578807e-14,31.187056549876974,FKBP1B;FKBP1B
cg03691818,-0.03717353685884918,0.04759332036081102,-9.157987821887682,4.1935830801563264e-18,2.533161816788963e-13,29.87467552551139,KRT77
cg05100634,-0.00600609008733468,0.020065788507586908,-8.874913183837805,3.4373296406135926e-17,1.5572564137076836e-12,27.79392916783583,SMAD2;SMAD2;SMAD2
cg02325951,0.0783884765091355,0.7692081856488934,7.8204438614014595,5.992858437702663e-14,2.091251537949118e-9,20.42578095835717,FOXN3;FOXN3
cg23120345,-0.031742156870737004,0.8463588171547721,-7.811974659934191,6.347022331635636e-14,2.091251537949118e-9,20.369200349297444,LOC285456
cg17238319,-0.07604572582778046,0.8031935899537309,-7.770728764349816,8.389745779463264e-14,2.533940934861657e-9,20.09426785681796,RFTN1
cg04946709,0.057114287235646044,0.7937957753120878,7.7056301366884865,1.300518551931027e-13,3.6257856988505374e-9,19.662447121536765,LOC644649
cg02758552,-0.06791410733389475,0.32208528856131236,-7.501756844874424,5.048561963241855e-13,1.3069789332754276e-8,18.326994930003018,GPX1;GPX1;GPX1;GPX1
cg10334916,0.020577262096428586,0.06456231591536987,7.439433940154207,7.604130836736385e-13,1.8373303704544766e-8,17.923940558754143,RNPEPL1
cg22921760,-0.049361305628101815,0.13080938661628108,-7.116702420886928,6.101222894508192e-12,1.382056636592614e-7,15.876558213572515,SALL2
cg22345911,-0.009093534812956577,0.027066128311484684,-6.712708705748712,7.527767582045125e-11,1.4359573241215489e-6,13.410616871314055,CSNK1D;CSNK1D;CSNK1D;CSNK1D
cg17743279,-0.013197629830730296,0.02592808967657372,-6.600588528791759,1.4832745446957876e-10,2.5599482206298718e-6,12.745974873033969,CDK6;CDK6
cg12052203,0.030718608217853906,0.04682339727605223,6.346935908697556,6.667065985518274e-10,1.0983506333615138e-5,11.274871588525148,B3GNT1;B3GNT1
cg09067967,-0.019231972420542115,0.03028366853854559,-6.117659754987662,2.4962144168477055e-9,3.9335346780686146e-5,9.984795480813226,UGDH
cg22266749,0.031309953759157086,0.06430225182613358,5.992780354111715,5.044147950167547e-9,7.61737799237927e-5,9.298303488906,COL25A1;COL25A1
cg16727519,0.045517590877610536,0.6144491353398351,5.74160262563184,2.0068774593672648e-8,2.797540865801212e-4,7.952757185130851,LOC440926;H3F3A
cg00243574,0.024013307314358134,0.07327344268334617,5.698077240359243,2.537566154727256e-8,3.4062972286015493e-4,7.724444344104139,HOXC4;HOXC5;HOXC4;HOXC6;HOXC6
cg22566518,0.012444356100097205,0.05280279536519573,5.53580695766822,6.011105651180583e-8,7.512514019241323e-4,6.886064774172667,SIRT6;ANKRD24
cg07816873,-0.026896899569458663,0.1367169434657432,-5.3884615410557775,1.293183581581088e-7,0.001562312327355867,6.14248730613008,ERC1;ERC1;ERC1;ERC1;ERC1;ERC1;ERC1
cg09639931,-0.13089624964611613,0.3220733997025204,-5.291473510554021,2.1221751431279125e-7,0.0024811239542723287,5.662341073691259,ZPBP2;ZPBP2
cg08247450,0.010142663501541596,0.04433003879742846,5.14727507096585,4.373870756877514e-7,0.00480375598150953,4.962286330498504,AADAT;AADAT;AADAT
cg23026554,-0.12794125368839057,0.21907050200308606,-4.970746168095877,1.0373154706565664e-6,0.011057599861527705,4.128025929970891,LOC441666
cg12204423,0.01035974388959695,0.06262405132432987,4.949977305113637,1.1464231404233365e-6,0.011693145279434032,4.031536568663386,PHF17;PHF17
cg16169375,-0.010297433022797849,0.04302469301985144,-4.947265724434801,1.161461755960051e-6,0.011693145279434032,4.018964901719402,C6orf108;C6orf108
cg06642617,0.007023435373977141,0.018877277669825346,4.902311017957339,1.4403795500720037e-6,0.013899802639930525,3.811417786155877,CCT7;CCT7;CCT7;CCT7;CCT7;C2orf7;CCT7
cg25568337,-0.026829794663254664,0.15106927261012157,-4.842236217290761,1.915643619268885e-6,0.017802419987335873,3.5366505536120325,ARID1B;ARID1B;ARID1B
cg26838023,-0.10648261068630982,0.6101730258415874,-4.715500229498936,3.463544854112479e-6,0.02988824799179529,2.966756975557699,NCRNA00028;REM1
cg13175159,0.07942262324383986,0.7913679357197464,4.694549639093394,3.815117948262942e-6,0.03215647577815654,2.8738317156922015,ELTD1
cg22227586,-0.004745675716318627,0.02474622305714403,-4.689396637102723,3.906716914779829e-6,0.032180159961166195,2.8510318515952964,FAM35A;GLUD1;GLUD1
cg03199192,-0.0530749909793411,0.814321038555983,-4.651152206935328,4.655854213620809e-6,0.03590297587360519,2.6825085923094854,C15orf29
